kind,shape_key,sample_sql,executions,total_elapsed_us,mean_elapsed_us,max_elapsed_us,failures,last_error_type
"UPDATE","INSERT INTO order_line VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?)","INSERT INTO order_line VALUES (1, 1, 1, 1, 20026, '2026-05-03 04:09:57.408', 0.0, 1, 5.0, 'hvwhimizyvxmjvtnioycvzl')",300040,59029550,196,2318419,0,
"UPDATE","UPDATE order_line SET OL_DELIVERY_D = ? WHERE OL_O_ID = ? AND OL_D_ID = ? AND OL_W_ID = ?","UPDATE order_line SET OL_DELIVERY_D = '2026-05-03 04:11:29.908' WHERE OL_O_ID = 2101 AND OL_D_ID = 1 AND OL_W_ID = 1",140,8586994,61335,1825072,0,
"QUERY","SELECT S_QUANTITY, S_DATA, S_DIST_01, S_DIST_02, S_DIST_03, S_DIST_04, S_DIST_05, S_DIST_06, S_DIST_07, S_DIST_08, S_DIST_09, S_DIST_10 FROM stock WHERE S_I_ID = ? AND S_W_ID = ? FOR UPDATE","SELECT S_QUANTITY, S_DATA, S_DIST_01, S_DIST_02, S_DIST_03, S_DIST_04, S_DIST_05, S_DIST_06, S_DIST_07, S_DIST_08, S_DIST_09, S_DIST_10 FROM stock WHERE S_I_ID = 39015 AND S_W_ID = 1 FOR UPDATE",1358,7445932,5483,1514506,0,
"QUERY","SELECT SUM(OL_AMOUNT) AS OL_TOTAL FROM order_line WHERE OL_O_ID = ? AND OL_D_ID = ? AND OL_W_ID = ?","SELECT SUM(OL_AMOUNT) AS OL_TOTAL FROM order_line WHERE OL_O_ID = 2101 AND OL_D_ID = 1 AND OL_W_ID = 1",140,6681869,47727,308785,0,
"UPDATE","INSERT INTO stock VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)","INSERT INTO stock VALUES (1, 1, 37, 0.0, 0, 0, 'shyvjgxazfuunhnvimvfovfmsxrtw', 'lfgozisgxmfpuvfuhistxqf', 'rmpepkwjxdccffzanlrqxbt', 'latrftlmggkumroebyuvzsg', 'erpfzrwusnafxdawsahyslt', 'bwxhfknqkioimqpwndafhkb', 'abivkiecryofxvqwsmmviuo', 'qvquqyjaqeoicspwupibyds', 'tmbmcxymdkolnxyqewtuptv', 'dzqpbtpkvkguihjrlltnosn', 'szwbbfwvilfegjmxrccnqvh')",100000,4981063,49,88471,0,
"UPDATE","INSERT INTO customer VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)","INSERT INTO customer VALUES (1, 1, 1, 0.46050000190734863, 'GC', 'BARBARBAR', 'klaakuahicg', 50000.0, -10.0, 10.0, 1, 0, 'istusvmtz', 'zgptnvhrvngtcebava', 'shoumqqeebal', 'TR', '178211111', '9259595978960319', '2026-05-03 04:09:46.712', 'OE', 'nqjlwkmjntemfebboudbqrtpsqckvkrirhdehgboobxjcqbolxgfflolaqzxczannnalfkqlgctipypmualkbzcupifwywicvjhrudffazdliwbqairnavvfcspdeqdlfhzkcophryikbpjvvwzhuemhfzbovfzhbkvpffqlnzjtvutqfbfekazvugosnrgwddfgvqqefguhkdflbinrxjxfofptafbsbjysnecjlvpoovyhglskrwuekxfxoxvrknmmzxukqenmwlkewutfgdvumywmyhouxjwdvfbszfwnheqscytvboqtjvakruvbhonxevalsgmtxwihpmsagaadbjylzwfqcsclzxzxbvwyshvgdjhvpdoeddrvgxwequ')",30000,4702779,156,704305,0,
"QUERY","SELECT I_PRICE, I_NAME , I_DATA FROM item WHERE I_ID = ?","SELECT I_PRICE, I_NAME , I_DATA FROM item WHERE I_ID = 39015",1358,4596668,3384,1563738,0,
"UPDATE","UPDATE stock SET S_QUANTITY = ? , S_YTD = S_YTD + ?, S_ORDER_CNT = S_ORDER_CNT + 1, S_REMOTE_CNT = S_REMOTE_CNT + ? WHERE S_I_ID = ? AND S_W_ID = ?","UPDATE stock SET S_QUANTITY = 54 , S_YTD = S_YTD + 2, S_ORDER_CNT = S_ORDER_CNT + 1, S_REMOTE_CNT = S_REMOTE_CNT + 0 WHERE S_I_ID = 39015 AND S_W_ID = 1",1358,4511061,3321,1472277,0,
"UPDATE","INSERT INTO item VALUES (?, ?, ?, ?, ?)","INSERT INTO item VALUES (1, 'sxvnjhpdqdxvc', 54.32, 'astvybcwvmgnykrxvzxkgxtspsjdgyluegqflaqloc', 6958)",100000,2869338,28,64824,0,
"QUERY","SELECT O_C_ID FROM oorder WHERE O_ID = ? AND O_D_ID = ? AND O_W_ID = ?","SELECT O_C_ID FROM oorder WHERE O_ID = 2101 AND O_D_ID = 1 AND O_W_ID = 1",140,2242466,16017,2213896,0,
"UPDATE","UPDATE warehouse SET W_YTD = W_YTD + ? WHERE W_ID = ?","UPDATE warehouse SET W_YTD = W_YTD + 667.6199951171875 WHERE W_ID = 1",136,1643903,12087,1623694,0,
"QUERY","SELECT W_STREET_1, W_STREET_2, W_CITY, W_STATE, W_ZIP, W_NAME FROM warehouse WHERE W_ID = ?","SELECT W_STREET_1, W_STREET_2, W_CITY, W_STATE, W_ZIP, W_NAME FROM warehouse WHERE W_ID = 1",136,1495317,10994,1456890,0,
"UPDATE","UPDATE customer SET C_BALANCE = ?, C_YTD_PAYMENT = ?, C_PAYMENT_CNT = ? WHERE C_W_ID = ? AND C_D_ID = ? AND C_ID = ?","UPDATE customer SET C_BALANCE = -677.6199951171875, C_YTD_PAYMENT = 677.6199951171875, C_PAYMENT_CNT = 2 WHERE C_W_ID = 1 AND C_D_ID = 7 AND C_ID = 479",123,1485189,12074,1461621,0,
"UPDATE","UPDATE district SET D_NEXT_O_ID = D_NEXT_O_ID + 1 WHERE D_W_ID = ? AND D_ID = ?","UPDATE district SET D_NEXT_O_ID = D_NEXT_O_ID + 1 WHERE D_W_ID = 1 AND D_ID = 6",145,1416818,9771,1399867,0,
"UPDATE","INSERT INTO oorder VALUES (?, ?, ?, ?, ?, ?, ?, ?)","INSERT INTO oorder VALUES (1, 1, 1, 2372, 5, 8, 1, '2026-05-03 04:09:55.016')",30000,1209098,40,55695,0,
"QUERY","SELECT OL_I_ID, OL_SUPPLY_W_ID, OL_QUANTITY, OL_AMOUNT, OL_DELIVERY_D FROM order_line WHERE OL_O_ID = ? AND OL_D_ID = ? AND OL_W_ID = ?","SELECT OL_I_ID, OL_SUPPLY_W_ID, OL_QUANTITY, OL_AMOUNT, OL_DELIVERY_D FROM order_line WHERE OL_O_ID = 2336 AND OL_D_ID = 5 AND OL_W_ID = 1",18,1082713,60150,169774,0,
"QUERY","SELECT C_FIRST, C_MIDDLE, C_ID, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_SINCE FROM customer WHERE C_W_ID = ? AND C_D_ID = ? AND C_LAST = ? ORDER BY C_FIRST","SELECT C_FIRST, C_MIDDLE, C_ID, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_SINCE FROM customer WHERE C_W_ID = 1 AND C_D_ID = 7 AND C_LAST = 'PRESCALLYATION' ORDER BY C_FIRST",85,930027,10941,71064,0,
"QUERY","SELECT COUNT(DISTINCT (S_I_ID)) AS STOCK_COUNT FROM order_line, stock WHERE OL_W_ID = ? AND OL_D_ID = ? AND OL_O_ID < ? AND OL_O_ID >= ? AND S_W_ID = ? AND S_I_ID = OL_I_ID AND S_QUANTITY < ?","SELECT COUNT(DISTINCT (S_I_ID)) AS STOCK_COUNT FROM order_line, stock WHERE OL_W_ID = 1 AND OL_D_ID = 2 AND OL_O_ID < 3002 AND OL_O_ID >= 2982 AND S_W_ID = 1 AND S_I_ID = OL_I_ID AND S_QUANTITY < 13",13,908810,69908,183824,0,
