Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.200,636.490,636.490,636.490,636.490,636.490,636.490,636.490,636.490,636.490,0.002
5,0.200,153.302,153.302,153.302,153.302,153.302,153.302,153.302,153.302,153.302,0.007
10,0.400,163.889,120.795,120.795,206.983,206.983,206.983,206.983,206.983,206.983,0.006
15,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
20,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
25,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,0.200,117.640,117.640,117.640,117.640,117.640,117.640,117.640,117.640,117.640,0.009
35,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
40,0.200,53.807,53.807,53.807,53.807,53.807,53.807,53.807,53.807,53.807,0.019
45,0.200,50.523,50.523,50.523,50.523,50.523,50.523,50.523,50.523,50.523,0.020
50,0.400,51.599,43.359,43.359,59.839,59.839,59.839,59.839,59.839,59.839,0.019
55,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
