Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.000,181.000,1.823,4.433,26.303,40.998,71.690,2368.838,2368.838,2368.838,0.006
5,5.600,12.552,1.090,7.543,12.814,17.298,22.696,22.913,32.881,32.881,0.080
10,0.800,9.711,3.782,9.094,12.407,13.559,13.559,13.559,13.559,13.559,0.103
15,1.000,85.577,1.511,9.137,17.988,29.534,369.717,369.717,369.717,369.717,0.012
20,4.600,71.973,0.892,1.790,7.233,9.165,13.533,15.890,1519.190,1519.190,0.014
25,2.400,6.380,0.911,4.303,5.955,9.363,11.250,12.967,12.967,12.967,0.157
30,2.600,7.610,1.005,1.196,5.478,9.903,14.501,29.447,29.447,29.447,0.131
35,2.800,8.640,1.230,6.303,9.259,12.905,14.381,16.599,16.599,16.599,0.116
40,2.400,127.956,0.914,6.960,8.287,13.379,17.098,1449.110,1449.110,1449.110,0.008
45,3.000,4.713,0.665,0.913,5.551,6.090,9.665,15.087,15.087,15.087,0.212
50,2.200,7.357,0.972,2.542,7.228,9.363,9.736,20.282,20.282,20.282,0.136
55,1.600,6.417,0.773,1.337,7.119,13.292,14.263,14.263,14.263,14.263,0.156
