Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.200,1869.113,1869.113,1869.113,1869.113,1869.113,1869.113,1869.113,1869.113,1869.113,0.001
5,0.600,696.070,121.333,121.333,122.875,1844.003,1844.003,1844.003,1844.003,1844.003,0.001
10,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
15,0.400,178.950,64.389,64.389,293.511,293.511,293.511,293.511,293.511,293.511,0.006
20,0.400,43.499,42.489,42.489,44.509,44.509,44.509,44.509,44.509,44.509,0.023
25,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
35,0.200,46.130,46.130,46.130,46.130,46.130,46.130,46.130,46.130,46.130,0.022
40,0.200,49.532,49.532,49.532,49.532,49.532,49.532,49.532,49.532,49.532,0.020
45,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
50,0.200,44.225,44.225,44.225,44.225,44.225,44.225,44.225,44.225,44.225,0.023
55,0.400,57.830,57.392,57.392,58.267,58.267,58.267,58.267,58.267,58.267,0.017
