Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,13,13.000,6411,16524,26303,77475,50984,71690,636490,636490,636490
1,9,9.000,1823,5769,14479,276822,31538,2368838,2368838,2368838,2368838
2,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,12,12.000,1897,6812,22763,171959,31425,47536,1869113,1869113,1869113
4,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,21,21.000,3200,11211,12811,87254,13827,22913,122875,1480973,1480973
6,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,16,16.000,1090,8366,11750,141443,22799,153302,1844003,1844003,1844003
8,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,14,14.000,1482,7543,12244,180867,20738,32881,2353829,2353829,2353829
10,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,5,5.000,13463,13559,120795,328532,206983,1287862,1287862,1287862,1287862
13,5,5.000,3782,5977,9094,176018,12407,848834,848834,848834,848834
14,1,1.000,1725651,1725651,1725651,1725651,1725651,1725651,1725651,1725651,1725651
15,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,4,4.000,10060,33513,293511,176700,369717,369717,369717,369717,369717
17,9,9.000,1511,5441,6307,232960,9137,2027696,2027696,2027696,2027696
18,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,3,3.000,17988,17988,64389,335130,923014,923014,923014,923014,923014
20,16,16.000,1369,6411,7649,53395,9765,15890,743607,743607,743607
21,2,2.000,751224,751224,1519190,1135207,1519190,1519190,1519190,1519190,1519190
22,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,6,6.000,1220,1392,10590,132271,13533,759593,759593,759593,759593
24,13,13.000,892,4099,5415,120422,8743,44509,1431951,1431951,1431951
25,11,11.000,911,2312,4784,73149,11250,18575,749165,749165,749165
26,2,2.000,6381,6381,1586913,796647,1586913,1586913,1586913,1586913,1586913
27,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,10,10.000,1382,4576,9208,159184,12967,770970,770970,770970,770970
29,6,6.000,3506,5701,6245,361557,9258,2138680,2138680,2138680,2138680
30,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,1,1.000,779413,779413,779413,779413,779413,779413,779413,779413,779413
32,14,14.000,1005,1196,5640,111748,11825,117640,1386509,1386509,1386509
33,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
34,15,15.000,2154,6852,8966,108714,11627,29447,1493037,1493037,1493037
35,8,8.000,1691,4224,6419,11238,10624,46130,46130,46130,46130
36,6,6.000,2884,3126,5774,242339,8482,1429766,1429766,1429766,1429766
37,2,2.000,9841,9841,761471,385656,761471,761471,761471,761471,761471
38,9,9.000,3025,5192,6002,170559,13925,1470997,1470997,1470997,1470997
39,15,15.000,1230,3425,6303,102371,12905,14381,1440463,1440463,1440463
40,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,17,17.000,914,5289,7638,96346,11681,53807,1435332,1435332,1435332
42,8,8.000,2354,4665,6868,6433,8455,13379,13379,13379,13379
43,3,3.000,4349,4349,762001,521795,799036,799036,799036,799036,799036
44,1,1.000,1449110,1449110,1449110,1449110,1449110,1449110,1449110,1449110,1449110
45,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,17,17.000,728,3780,5551,138407,6025,766443,1513297,1513297,1513297
47,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,15,15.000,665,3487,4672,111295,9029,50523,1551529,1551529,1551529
49,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,13,13.000,1867,4362,6291,193132,44225,782660,1577647,1577647,1577647
51,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
52,5,5.000,6920,7228,9736,161640,20282,764034,764034,764034,764034
53,9,9.000,972,4499,5852,96098,9137,782651,782651,782651,782651
54,1,1.000,2592010,2592010,2592010,2592010,2592010,2592010,2592010,2592010,2592010
55,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
56,12,12.000,773,5419,8520,137262,17051,57392,1510793,1510793,1510793
57,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
58,6,6.000,1337,5484,13292,17590,15047,58267,58267,58267,58267
