Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1777781489.465728,29982,0,1
2,Payment,1777781489.501980,97968,0,1
1,NewOrder,1777781489.600006,38648,0,1
1,NewOrder,1777781489.638754,17645,0,1
1,NewOrder,1777781489.656458,25208,0,1
1,NewOrder,1777781489.681747,33847,0,1
2,Payment,1777781489.715651,38647,0,1
2,Payment,1777781489.754392,3134,0,1
1,NewOrder,1777781489.757567,22188,0,1
2,Payment,1777781489.779820,3230,0,1
2,Payment,1777781489.783192,3591,0,1
1,NewOrder,1777781489.786812,5931,0,1
2,Payment,1777781489.792791,51811,0,1
2,Payment,1777781489.844662,50472,0,1
4,Delivery,1777781489.895195,3246423,0,1
2,Payment,1777781493.141966,33383,0,1
2,Payment,1777781493.175479,1699,0,1
3,OrderStatus,1777781493.177217,206695,0,1
4,Delivery,1777781493.384054,1052917,0,1
1,NewOrder,1777781494.437058,11693,0,1
2,Payment,1777781494.448814,17172,0,1
2,Payment,1777781494.466062,1652297,0,1
5,StockLevel,1777781496.119344,188942,0,1
1,NewOrder,1777781496.308394,15225,0,1
2,Payment,1777781496.323716,111399,0,1
1,NewOrder,1777781496.435191,11032,0,1
1,NewOrder,1777781496.446286,10447,0,1
1,NewOrder,1777781496.456827,5497,0,1
1,NewOrder,1777781496.462586,3961,0,1
2,Payment,1777781496.466604,2028,0,1
4,Delivery,1777781496.468665,3190750,0,1
1,NewOrder,1777781499.660282,14253,0,1
1,NewOrder,1777781499.674664,23556,0,1
2,Payment,1777781499.698296,5992,0,1
5,StockLevel,1777781499.704335,76072,0,1
1,NewOrder,1777781499.780500,8796,0,1
1,NewOrder,1777781499.789348,8717,0,1
1,NewOrder,1777781499.798141,10728,0,1
2,Payment,1777781499.809034,23051,0,1
1,NewOrder,1777781499.832524,12315,0,1
2,Payment,1777781499.844954,2605,0,1
2,Payment,1777781499.847616,1200,0,1
1,NewOrder,1777781499.848845,1512884,0,1
2,Payment,1777781501.363898,15416,0,1
1,NewOrder,1777781501.379536,13131,0,1
2,Payment,1777781501.392743,18664,0,1
2,Payment,1777781501.411466,1967,0,1
2,Payment,1777781501.413466,3069,0,1
1,NewOrder,1777781501.416566,5701,0,1
1,NewOrder,1777781501.422308,6406,0,1
1,NewOrder,1777781501.428743,8407,0,1
2,Payment,1777781501.437256,14655,0,1
1,NewOrder,1777781501.451967,7897,0,1
2,Payment,1777781501.460694,10588,0,1
2,Payment,1777781501.471359,10385,0,1
1,NewOrder,1777781501.481802,5281,0,1
2,Payment,1777781501.487119,1500034,0,1
2,Payment,1777781502.987994,11591,0,1
1,NewOrder,1777781502.999669,8644,0,1
1,NewOrder,1777781503.008395,5251,0,1
1,NewOrder,1777781503.013678,5176,0,1
1,NewOrder,1777781503.018898,6717,0,1
2,Payment,1777781503.025642,12962,0,1
2,Payment,1777781503.038659,14014,0,1
2,Payment,1777781503.052754,2153,0,1
1,NewOrder,1777781503.054965,8991,0,1
1,NewOrder,1777781503.064580,7693,0,1
2,Payment,1777781503.072381,1102,0,1
2,Payment,1777781503.073515,1470,0,1
2,Payment,1777781503.075010,12520,0,1
1,NewOrder,1777781503.087592,1541143,0,1
2,Payment,1777781504.629905,5086,0,1
2,Payment,1777781504.635120,2036,0,1
2,Payment,1777781504.637185,13655,0,1
1,NewOrder,1777781504.650890,6632,0,1
2,Payment,1777781504.657558,12219,0,1
1,NewOrder,1777781504.669816,8366,0,1
1,NewOrder,1777781504.678213,3557,0,1
2,Payment,1777781504.681797,1060,0,1
4,Delivery,1777781504.682883,861124,0,1
1,NewOrder,1777781505.544123,1487945,0,1
1,NewOrder,1777781507.032903,22964,0,1
1,NewOrder,1777781507.056190,5424,0,1
2,Payment,1777781507.061680,3939,0,1
4,Delivery,1777781507.065672,1720765,0,1
2,Payment,1777781508.787056,72248,0,1
2,Payment,1777781508.859396,16430,0,1
5,StockLevel,1777781508.875914,101386,0,1
1,NewOrder,1777781508.977539,6852,0,1
1,NewOrder,1777781508.984440,23168,0,1
2,Payment,1777781509.008693,14223,0,1
1,NewOrder,1777781509.023004,14800,0,1
2,Payment,1777781509.037888,12104,0,1
1,NewOrder,1777781509.050062,1770172,0,1
2,Payment,1777781510.821354,25815,0,1
3,OrderStatus,1777781510.847601,97153,0,1
5,StockLevel,1777781510.945507,63754,0,1
2,Payment,1777781511.009430,2567,0,1
2,Payment,1777781511.012042,10826,0,1
2,Payment,1777781511.022930,7903,0,1
1,NewOrder,1777781511.030946,9748,0,1
2,Payment,1777781511.040750,10756,0,1
2,Payment,1777781511.051562,1339,0,1
1,NewOrder,1777781511.052948,4140,0,1
1,NewOrder,1777781511.057126,7489,0,1
3,OrderStatus,1777781511.064665,82796,0,1
2,Payment,1777781511.147544,1581,0,1
1,NewOrder,1777781511.149164,6958,0,1
2,Payment,1777781511.156188,1266,0,1
1,NewOrder,1777781511.157495,3039,0,1
3,OrderStatus,1777781511.160565,77003,0,1
2,Payment,1777781511.237655,1762,0,1
1,NewOrder,1777781511.239464,1456675,0,1
2,Payment,1777781512.697079,11322,0,1
1,NewOrder,1777781512.708679,9836,0,1
2,Payment,1777781512.718719,1550,0,1
5,StockLevel,1777781512.720311,59135,0,1
1,NewOrder,1777781512.779530,4560,0,1
2,Payment,1777781512.784141,1315,0,1
2,Payment,1777781512.785506,1132,0,1
1,NewOrder,1777781512.786683,7321,0,1
1,NewOrder,1777781512.794044,7200,0,1
2,Payment,1777781512.801276,12803,0,1
5,StockLevel,1777781512.814124,51079,0,1
1,NewOrder,1777781512.865284,7729,0,1
1,NewOrder,1777781512.873085,1505172,0,1
2,Payment,1777781514.379010,17063,0,1
2,Payment,1777781514.396323,7973,0,1
1,NewOrder,1777781514.404456,5620,0,1
2,Payment,1777781514.410168,7581,0,1
1,NewOrder,1777781514.417795,6910,0,1
2,Payment,1777781514.424748,1073,0,1
1,NewOrder,1777781514.425850,4408,0,1
1,NewOrder,1777781514.430289,5313,0,1
1,NewOrder,1777781514.435634,5934,0,1
1,NewOrder,1777781514.441599,2527390,0,1
3,OrderStatus,1777781516.970949,172780,0,1
1,NewOrder,1777781517.144311,12854,0,1
1,NewOrder,1777781517.157342,5989,0,1
2,Payment,1777781517.163431,6111,0,1
2,Payment,1777781517.169621,1999,0,1
1,NewOrder,1777781517.171658,9357,0,1
1,NewOrder,1777781517.181104,6489,0,1
2,Payment,1777781517.187637,2330,0,1
1,NewOrder,1777781517.190002,7487,0,1
4,Delivery,1777781517.197538,887382,0,1
1,NewOrder,1777781518.085040,1450114,0,1
2,Payment,1777781519.536219,18405,0,1
2,Payment,1777781519.555063,7756,0,1
2,Payment,1777781519.562875,5499,0,1
1,NewOrder,1777781519.568411,7820,0,1
2,Payment,1777781519.576272,5741,0,1
2,Payment,1777781519.582048,5213,0,1
2,Payment,1777781519.587297,6376,0,1
2,Payment,1777781519.593716,950,0,1
2,Payment,1777781519.594698,5319,0,1
2,Payment,1777781519.600051,1079,0,1
4,Delivery,1777781519.601161,855464,0,1
