Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.400,2149.670,1052.917,1052.917,3246.423,3246.423,3246.423,3246.423,3246.423,3246.423,0.000
5,0.200,3190.750,3190.750,3190.750,3190.750,3190.750,3190.750,3190.750,3190.750,3190.750,0.000
10,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
15,0.400,1290.945,861.124,861.124,1720.765,1720.765,1720.765,1720.765,1720.765,1720.765,0.001
20,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
25,0.200,887.382,887.382,887.382,887.382,887.382,887.382,887.382,887.382,887.382,0.001
30,0.400,855.688,855.464,855.464,855.912,855.912,855.912,855.912,855.912,855.912,0.001
35,0.400,912.684,891.127,891.127,934.240,934.240,934.240,934.240,934.240,934.240,0.001
40,0.400,866.446,845.845,845.845,887.047,887.047,887.047,887.047,887.047,887.047,0.001
45,0.200,856.854,856.854,856.854,856.854,856.854,856.854,856.854,856.854,856.854,0.001
50,0.200,856.749,856.749,856.749,856.749,856.749,856.749,856.749,856.749,856.749,0.001
55,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
