Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1.600,23.143,5.931,17.645,25.208,33.847,38.648,38.648,38.648,38.648,0.043
5,1.000,9.232,3.961,5.497,10.447,11.032,15.225,15.225,15.225,15.225,0.108
10,4.000,161.084,5.176,6.717,8.717,13.131,1512.884,1541.143,1541.143,1541.143,0.006
15,2.000,334.988,3.557,6.632,14.800,23.168,1770.172,1770.172,1770.172,1770.172,0.003
20,3.600,310.302,3.039,5.313,7.200,9.748,1505.172,2527.390,2527.390,2527.390,0.003
25,1.200,248.715,5.989,6.489,9.357,12.854,1450.114,1450.114,1450.114,1450.114,0.004
30,2.200,277.741,3.034,5.018,6.544,17.152,1435.655,1553.905,1553.905,1553.905,0.004
35,2.400,124.768,3.422,4.275,5.844,6.242,22.845,1425.079,1425.079,1425.079,0.008
40,1.600,388.636,4.782,5.722,9.289,1456.774,1604.445,1604.445,1604.445,1604.445,0.003
45,4.000,220.850,2.968,3.555,6.609,8.545,1429.045,1457.553,1457.553,1457.553,0.005
50,1.400,214.406,4.694,4.976,5.252,7.056,1467.685,1467.685,1467.685,1467.685,0.005
55,3.600,243.413,3.346,4.940,6.579,8.965,1416.494,1447.053,1447.053,1447.053,0.004
