Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,4.200,237.728,1.699,11.693,29.982,50.472,206.695,1052.917,3246.423,3246.423,0.004
5,2.000,519.158,2.028,5.497,15.225,188.942,3190.750,3190.750,3190.750,3190.750,0.002
10,8.000,124.030,1.102,5.701,8.991,14.253,76.072,1512.884,1541.143,1541.143,0.008
15,4.600,268.963,1.060,5.424,13.655,72.248,1487.945,1720.765,1770.172,1770.172,0.004
20,8.400,146.238,1.073,4.140,7.581,17.063,82.796,1456.675,2527.390,2527.390,0.007
25,2.200,232.990,1.999,5.989,7.487,172.780,887.382,1450.114,1450.114,1450.114,0.004
30,6.000,165.730,0.950,5.213,6.544,17.152,855.912,1435.655,1553.905,1553.905,0.006
35,8.000,133.115,1.014,4.275,6.951,22.845,891.127,1425.079,1554.847,1554.847,0.008
40,3.000,333.289,1.714,4.881,10.991,845.845,1456.774,1604.445,1604.445,1604.445,0.003
45,7.400,149.673,0.833,3.195,6.609,17.187,856.854,1429.045,1457.553,1457.553,0.007
50,4.800,169.683,1.586,5.252,7.289,49.650,856.749,1467.279,1467.685,1467.685,0.006
55,6.200,153.455,1.104,6.251,8.965,54.144,65.422,1416.494,1447.053,1447.053,0.007
