Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.800,7.659,3.300,4.138,4.928,7.582,14.355,18.824,78.656,78.656,0.131
5,14.200,8.915,3.375,3.707,4.791,6.974,9.152,12.063,230.837,230.837,0.112
10,9.400,9.412,3.725,4.872,5.805,10.820,14.162,16.683,85.600,85.600,0.106
15,10.800,5.837,3.652,4.459,5.075,6.232,8.514,10.546,14.487,14.487,0.171
20,2.200,107.482,8.404,8.936,12.589,23.275,29.098,1034.181,1034.181,1034.181,0.009
25,14.000,7.936,3.307,4.438,5.671,7.763,12.722,18.272,72.546,72.546,0.126
30,20.000,6.467,3.679,4.452,5.205,6.956,10.177,14.894,34.271,34.271,0.155
35,13.200,7.816,3.784,4.453,5.406,7.603,15.148,17.989,63.486,63.486,0.128
40,17.000,6.075,3.403,4.516,5.108,6.399,8.209,14.929,19.572,19.572,0.165
45,16.600,8.345,3.199,4.147,5.162,7.623,13.053,26.788,85.651,85.651,0.120
50,11.000,13.284,3.598,5.060,8.463,16.733,26.863,34.366,70.504,70.504,0.075
55,7.600,12.874,3.575,5.195,7.970,12.081,18.143,38.586,135.190,135.190,0.078
