Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,173.800,2.895,0.921,1.650,2.159,2.980,4.773,7.269,13.201,57.784,0.345
5,173.800,3.378,0.971,1.667,2.133,2.812,4.314,6.763,23.958,210.668,0.296
10,137.600,4.659,1.088,2.089,2.747,4.064,6.837,8.927,24.097,524.659,0.215
15,119.000,6.821,1.092,1.807,2.322,3.146,5.132,7.512,15.035,2233.845,0.147
20,16.600,30.975,2.256,4.608,8.018,13.566,18.049,22.711,1797.528,1797.528,0.032
25,171.200,3.488,0.966,1.799,2.456,3.576,5.699,8.244,20.030,142.674,0.287
30,209.400,2.834,1.082,1.768,2.278,2.888,4.481,6.032,10.202,110.785,0.353
35,145.200,4.460,1.132,1.968,2.524,3.690,7.421,11.087,25.471,350.216,0.224
40,209.800,2.994,0.988,1.790,2.289,3.038,4.721,6.481,12.784,70.365,0.334
45,174.000,3.390,0.927,1.830,2.300,3.365,5.766,7.863,24.600,54.948,0.295
50,97.400,5.891,1.265,2.510,3.752,6.778,12.348,17.195,27.735,70.913,0.170
55,122.600,5.102,1.101,2.230,3.024,5.076,8.352,11.168,42.736,156.495,0.196
