Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,17.600,2.832,0.346,0.802,1.297,2.875,9.617,10.700,17.237,17.237,0.353
5,15.200,1.423,0.404,0.617,0.788,1.266,3.095,4.371,14.057,14.057,0.703
10,12.200,2.531,0.457,0.811,1.286,2.807,4.855,9.227,17.966,17.966,0.395
15,7.200,5.802,0.434,0.667,1.164,3.460,5.410,12.017,129.370,129.370,0.172
20,2.000,5.175,1.317,1.739,4.781,5.662,12.728,12.728,12.728,12.728,0.193
25,15.200,1.652,0.362,0.531,0.960,1.515,4.736,5.843,8.776,8.776,0.605
30,21.200,1.344,0.317,0.558,0.726,1.460,2.602,4.606,8.611,8.745,0.744
35,13.000,1.326,0.309,0.523,0.669,1.163,3.596,4.220,7.673,7.673,0.754
40,19.800,1.184,0.344,0.478,0.671,1.202,2.290,3.174,11.416,11.416,0.844
45,16.200,1.096,0.375,0.506,0.667,1.301,2.543,3.002,5.793,5.793,0.913
50,10.200,1.855,0.361,0.652,1.055,1.630,3.084,9.448,12.581,12.581,0.539
55,11.000,1.529,0.361,0.559,0.955,1.939,3.303,4.534,11.098,11.098,0.654
