Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1777781610.554514,62726,0,1
1,NewOrder,1777781610.617868,37627,0,1
1,NewOrder,1777781610.655645,19518,0,1
2,Payment,1777781610.675225,9850,0,1
1,NewOrder,1777781610.685115,7822,0,1
2,Payment,1777781610.692981,17295,0,1
2,Payment,1777781610.710335,8110,0,1
4,Delivery,1777781610.718506,39400,0,1
2,Payment,1777781610.757965,30040,0,1
2,Payment,1777781610.788072,9098,0,1
1,NewOrder,1777781610.797243,8372,0,1
2,Payment,1777781610.805668,170248,0,1
1,NewOrder,1777781610.976038,13592,0,1
2,Payment,1777781610.990214,8797,0,1
1,NewOrder,1777781610.999071,5543,0,1
1,NewOrder,1777781611.004656,8459,0,1
2,Payment,1777781611.013167,2837,0,1
1,NewOrder,1777781611.016037,5442,0,1
1,NewOrder,1777781611.021512,7219,0,1
2,Payment,1777781611.028765,2354,0,1
1,NewOrder,1777781611.031154,8146,0,1
2,Payment,1777781611.039335,7248,0,1
1,NewOrder,1777781611.046635,11089,0,1
2,Payment,1777781611.057761,6670,0,1
2,Payment,1777781611.064461,5152,0,1
1,NewOrder,1777781611.069644,8868,0,1
3,OrderStatus,1777781611.078570,30999,0,1
1,NewOrder,1777781611.109638,15561,0,1
2,Payment,1777781611.125260,2776,0,1
4,Delivery,1777781611.128146,33911,0,1
2,Payment,1777781611.162131,8509,0,1
4,Delivery,1777781611.170697,31938,0,1
1,NewOrder,1777781611.202786,9371,0,1
2,Payment,1777781611.212214,3326,0,1
2,Payment,1777781611.215576,2167,0,1
2,Payment,1777781611.217773,2961,0,1
1,NewOrder,1777781611.220765,17736,0,1
1,NewOrder,1777781611.238544,6016,0,1
2,Payment,1777781611.244595,6348,0,1
1,NewOrder,1777781611.250982,5927,0,1
1,NewOrder,1777781611.256941,3985,0,1
1,NewOrder,1777781611.260958,8157,0,1
1,NewOrder,1777781611.269152,5166,0,1
1,NewOrder,1777781611.274365,6452,0,1
2,Payment,1777781611.280847,1971,0,1
1,NewOrder,1777781611.282845,4777,0,1
2,Payment,1777781611.287649,10740,0,1
1,NewOrder,1777781611.298477,3617,0,1
1,NewOrder,1777781611.302124,4019,0,1
2,Payment,1777781611.306171,1398,0,1
2,Payment,1777781611.307597,2003,0,1
2,Payment,1777781611.309628,1243,0,1
3,OrderStatus,1777781611.310899,11610,0,1
4,Delivery,1777781611.322542,16940,0,1
1,NewOrder,1777781611.339540,3598,0,1
1,NewOrder,1777781611.343663,2353,0,1
2,Payment,1777781611.346132,1866,0,1
5,StockLevel,1777781611.348032,7629,0,1
2,Payment,1777781611.355694,12073,0,1
1,NewOrder,1777781611.367802,5563,0,1
1,NewOrder,1777781611.373395,3224,0,1
2,Payment,1777781611.376652,2632,0,1
2,Payment,1777781611.379335,1355,0,1
3,OrderStatus,1777781611.380736,4387,0,1
2,Payment,1777781611.385329,6888,0,1
2,Payment,1777781611.392262,7667,0,1
2,Payment,1777781611.399967,3367,0,1
1,NewOrder,1777781611.403364,4678,0,1
5,StockLevel,1777781611.408071,10172,0,1
2,Payment,1777781611.418311,3207,0,1
1,NewOrder,1777781611.421551,10422,0,1
4,Delivery,1777781611.432126,19236,0,1
2,Payment,1777781611.451400,7532,0,1
1,NewOrder,1777781611.459099,6705,0,1
2,Payment,1777781611.465840,2424,0,1
2,Payment,1777781611.468296,11413,0,1
2,Payment,1777781611.479748,2655,0,1
1,NewOrder,1777781611.482434,2593,0,1
2,Payment,1777781611.485057,1629,0,1
2,Payment,1777781611.486714,1875,0,1
2,Payment,1777781611.488620,1120,0,1
2,Payment,1777781611.489767,2888,0,1
1,NewOrder,1777781611.492694,2075,0,1
1,NewOrder,1777781611.494801,4267,0,1
1,NewOrder,1777781611.499096,8808,0,1
2,Payment,1777781611.507939,2923,0,1
5,StockLevel,1777781611.510893,3767,0,1
2,Payment,1777781611.514690,1554,0,1
2,Payment,1777781611.516274,2865,0,1
1,NewOrder,1777781611.519170,2895,0,1
4,Delivery,1777781611.522095,7608,0,1
1,NewOrder,1777781611.529734,3307,0,1
2,Payment,1777781611.533074,2612,0,1
2,Payment,1777781611.535715,1836,0,1
1,NewOrder,1777781611.537580,3436,0,1
2,Payment,1777781611.541047,2117,0,1
1,NewOrder,1777781611.543222,6644,0,1
1,NewOrder,1777781611.549988,2783,0,1
1,NewOrder,1777781611.552866,2971,0,1
2,Payment,1777781611.555866,1682,0,1
4,Delivery,1777781611.557660,13226,0,1
1,NewOrder,1777781611.570980,2616,0,1
2,Payment,1777781611.573626,2582,0,1
1,NewOrder,1777781611.576238,2773,0,1
1,NewOrder,1777781611.579050,5090,0,1
1,NewOrder,1777781611.584169,4325,0,1
1,NewOrder,1777781611.588532,9230,0,1
2,Payment,1777781611.597833,4029,0,1
1,NewOrder,1777781611.601916,7605,0,1
1,NewOrder,1777781611.609606,2346,0,1
1,NewOrder,1777781611.612010,4534,0,1
1,NewOrder,1777781611.616575,3319,0,1
1,NewOrder,1777781611.619931,10767,0,1
1,NewOrder,1777781611.630743,5432,0,1
4,Delivery,1777781611.636227,13025,0,1
2,Payment,1777781611.649293,2659,0,1
3,OrderStatus,1777781611.652062,7137,0,1
1,NewOrder,1777781611.659236,8259,0,1
2,Payment,1777781611.667532,2389,0,1
2,Payment,1777781611.669950,1829,0,1
2,Payment,1777781611.671811,1485,0,1
2,Payment,1777781611.673325,3295,0,1
2,Payment,1777781611.676652,1959,0,1
1,NewOrder,1777781611.678638,15143,0,1
2,Payment,1777781611.693823,2308,0,1
2,Payment,1777781611.696176,1198,0,1
1,NewOrder,1777781611.697408,9811,0,1
2,Payment,1777781611.707326,11616,0,1
1,NewOrder,1777781611.719104,4185,0,1
2,Payment,1777781611.723407,2263,0,1
2,Payment,1777781611.725720,1801,0,1
1,NewOrder,1777781611.727549,10929,0,1
3,OrderStatus,1777781611.738519,2807,0,1
1,NewOrder,1777781611.741356,7971,0,1
1,NewOrder,1777781611.749365,2800,0,1
2,Payment,1777781611.752203,2818,0,1
4,Delivery,1777781611.755050,15909,0,1
1,NewOrder,1777781611.771020,5437,0,1
1,NewOrder,1777781611.776498,8121,0,1
1,NewOrder,1777781611.784655,5843,0,1
1,NewOrder,1777781611.790533,20378,0,1
2,Payment,1777781611.811000,10346,0,1
2,Payment,1777781611.821995,1631,0,1
2,Payment,1777781611.823662,3709,0,1
1,NewOrder,1777781611.827439,3859,0,1
2,Payment,1777781611.831330,4321,0,1
1,NewOrder,1777781611.835706,4041,0,1
1,NewOrder,1777781611.839795,3850,0,1
2,Payment,1777781611.843695,3041,0,1
2,Payment,1777781611.846767,2345,0,1
2,Payment,1777781611.849143,20436,0,1
2,Payment,1777781611.869649,6202,0,1
2,Payment,1777781611.875907,2939,0,1
1,NewOrder,1777781611.878899,2615,0,1
1,NewOrder,1777781611.881544,3375,0,1
2,Payment,1777781611.884947,5199,0,1
1,NewOrder,1777781611.890302,4640,0,1
1,NewOrder,1777781611.894978,4453,0,1
2,Payment,1777781611.899463,4162,0,1
2,Payment,1777781611.903657,4562,0,1
2,Payment,1777781611.908251,3203,0,1
5,StockLevel,1777781611.911508,1587,0,1
1,NewOrder,1777781611.913122,3448,0,1
1,NewOrder,1777781611.916617,3426,0,1
2,Payment,1777781611.920095,1198,0,1
1,NewOrder,1777781611.921321,25325,0,1
1,NewOrder,1777781611.946708,8796,0,1
1,NewOrder,1777781611.955541,2646,0,1
1,NewOrder,1777781611.958217,3896,0,1
1,NewOrder,1777781611.962142,3979,0,1
2,Payment,1777781611.966148,1216,0,1
1,NewOrder,1777781611.967392,2880,0,1
1,NewOrder,1777781611.970301,8299,0,1
1,NewOrder,1777781611.978635,2957,0,1
1,NewOrder,1777781611.981621,3713,0,1
1,NewOrder,1777781611.985363,3206,0,1
2,Payment,1777781611.988596,1932,0,1
2,Payment,1777781611.990557,976,0,1
1,NewOrder,1777781611.991561,4063,0,1
1,NewOrder,1777781611.995652,6934,0,1
2,Payment,1777781612.002644,2448,0,1
1,NewOrder,1777781612.005163,2616,0,1
1,NewOrder,1777781612.007834,2900,0,1
1,NewOrder,1777781612.010761,2637,0,1
2,Payment,1777781612.013460,3403,0,1
1,NewOrder,1777781612.016923,8993,0,1
5,StockLevel,1777781612.025951,1476,0,1
5,StockLevel,1777781612.027453,2805,0,1
2,Payment,1777781612.030286,2310,0,1
5,StockLevel,1777781612.032624,2388,0,1
1,NewOrder,1777781612.035039,4009,0,1
1,NewOrder,1777781612.039078,2485,0,1
4,Delivery,1777781612.041592,9368,0,1
1,NewOrder,1777781612.051018,2259,0,1
1,NewOrder,1777781612.053305,8372,0,1
3,OrderStatus,1777781612.061707,3467,0,1
1,NewOrder,1777781612.065203,2913,0,1
1,NewOrder,1777781612.068145,10951,0,1
2,Payment,1777781612.079135,4632,0,1
1,NewOrder,1777781612.083801,5426,0,1
2,Payment,1777781612.089259,1418,0,1
1,NewOrder,1777781612.090705,7979,0,1
1,NewOrder,1777781612.098719,2936,0,1
2,Payment,1777781612.101689,1837,0,1
4,Delivery,1777781612.103553,7795,0,1
1,NewOrder,1777781612.111397,4328,0,1
2,Payment,1777781612.115753,2130,0,1
1,NewOrder,1777781612.118012,6301,0,1
1,NewOrder,1777781612.124354,8994,0,1
1,NewOrder,1777781612.133462,4938,0,1
2,Payment,1777781612.138431,8108,0,1
1,NewOrder,1777781612.146712,13390,0,1
3,OrderStatus,1777781612.160171,3491,0,1
1,NewOrder,1777781612.163714,4026,0,1
2,Payment,1777781612.167772,3424,0,1
1,NewOrder,1777781612.171227,4445,0,1
1,NewOrder,1777781612.175705,4316,0,1
5,StockLevel,1777781612.180052,3198,0,1
2,Payment,1777781612.183279,2619,0,1
5,StockLevel,1777781612.185929,1919,0,1
2,Payment,1777781612.187875,4200,0,1
2,Payment,1777781612.192143,1809,0,1
1,NewOrder,1777781612.193986,2874,0,1
1,NewOrder,1777781612.196913,3338,0,1
5,StockLevel,1777781612.200301,828,0,1
2,Payment,1777781612.201153,3164,0,1
2,Payment,1777781612.204348,1747,0,1
2,Payment,1777781612.206123,2508,0,1
1,NewOrder,1777781612.208662,3874,0,1
1,NewOrder,1777781612.212565,3968,0,1
1,NewOrder,1777781612.216562,3245,0,1
1,NewOrder,1777781612.219835,2712,0,1
2,Payment,1777781612.222627,3784,0,1
2,Payment,1777781612.226567,1948,0,1
2,Payment,1777781612.228618,977,0,1
1,NewOrder,1777781612.229815,3039,0,1
5,StockLevel,1777781612.232954,1279,0,1
2,Payment,1777781612.234257,1836,0,1
1,NewOrder,1777781612.236203,2420,0,1
2,Payment,1777781612.238651,2885,0,1
5,StockLevel,1777781612.241648,1662,0,1
1,NewOrder,1777781612.243335,2902,0,1
3,OrderStatus,1777781612.246263,2604,0,1
1,NewOrder,1777781612.248911,3104,0,1
1,NewOrder,1777781612.252043,2152,0,1
5,StockLevel,1777781612.254221,711,0,1
2,Payment,1777781612.254956,1481,0,1
2,Payment,1777781612.256514,1725,0,1
3,OrderStatus,1777781612.258296,3143,0,1
2,Payment,1777781612.261464,1652,0,1
2,Payment,1777781612.263143,1823,0,1
2,Payment,1777781612.265024,2333,0,1
4,Delivery,1777781612.267447,10885,0,1
2,Payment,1777781612.278446,3014,0,1
1,NewOrder,1777781612.281565,4780,0,1
1,NewOrder,1777781612.286545,4915,0,1
1,NewOrder,1777781612.291548,6419,0,1
5,StockLevel,1777781612.298004,1057,0,1
2,Payment,1777781612.299105,3245,0,1
1,NewOrder,1777781612.302401,2863,0,1
1,NewOrder,1777781612.305294,3164,0,1
1,NewOrder,1777781612.308516,2821,0,1
1,NewOrder,1777781612.311368,3072,0,1
2,Payment,1777781612.314492,3647,0,1
2,Payment,1777781612.318170,1984,0,1
1,NewOrder,1777781612.320183,4174,0,1
2,Payment,1777781612.324386,1927,0,1
1,NewOrder,1777781612.326342,3096,0,1
1,NewOrder,1777781612.329485,4614,0,1
2,Payment,1777781612.334129,1401,0,1
2,Payment,1777781612.335558,1751,0,1
1,NewOrder,1777781612.337334,2341,0,1
2,Payment,1777781612.339719,1277,0,1
2,Payment,1777781612.341030,2543,0,1
2,Payment,1777781612.343625,1923,0,1
2,Payment,1777781612.345600,938,0,1
2,Payment,1777781612.346565,1743,0,1
1,NewOrder,1777781612.348335,4414,0,1
4,Delivery,1777781612.352797,7159,0,1
1,NewOrder,1777781612.360006,2137,0,1
1,NewOrder,1777781612.362171,2589,0,1
2,Payment,1777781612.364790,1817,0,1
2,Payment,1777781612.366637,2415,0,1
2,Payment,1777781612.369098,1953,0,1
2,Payment,1777781612.371099,1851,0,1
1,NewOrder,1777781612.373004,1969,0,1
1,NewOrder,1777781612.375001,2461,0,1
2,Payment,1777781612.377510,2342,0,1
1,NewOrder,1777781612.379905,5013,0,1
1,NewOrder,1777781612.384953,2810,0,1
2,Payment,1777781612.387809,3498,0,1
1,NewOrder,1777781612.391338,2604,0,1
2,Payment,1777781612.393970,3252,0,1
2,Payment,1777781612.397251,1694,0,1
4,Delivery,1777781612.398973,10161,0,1
1,NewOrder,1777781612.409168,4348,0,1
2,Payment,1777781612.413545,2066,0,1
1,NewOrder,1777781612.415648,3409,0,1
5,StockLevel,1777781612.419153,741,0,1
1,NewOrder,1777781612.419917,3994,0,1
1,NewOrder,1777781612.423940,3096,0,1
4,Delivery,1777781612.427064,7339,0,1
2,Payment,1777781612.434434,2765,0,1
2,Payment,1777781612.437228,3669,0,1
2,Payment,1777781612.440926,1119,0,1
1,NewOrder,1777781612.442073,3645,0,1
1,NewOrder,1777781612.445744,4118,0,1
2,Payment,1777781612.449892,2809,0,1
2,Payment,1777781612.452729,1590,0,1
1,NewOrder,1777781612.454346,3253,0,1
1,NewOrder,1777781612.457625,3208,0,1
1,NewOrder,1777781612.460861,1994,0,1
2,Payment,1777781612.462901,1871,0,1
1,NewOrder,1777781612.464816,2434,0,1
2,Payment,1777781612.467296,1763,0,1
1,NewOrder,1777781612.469092,3060,0,1
2,Payment,1777781612.472198,1639,0,1
1,NewOrder,1777781612.473864,3253,0,1
2,Payment,1777781612.477144,1680,0,1
1,NewOrder,1777781612.478851,2567,0,1
2,Payment,1777781612.481445,853,0,1
5,StockLevel,1777781612.482322,1529,0,1
2,Payment,1777781612.483918,5951,0,1
1,NewOrder,1777781612.489932,16169,0,1
1,NewOrder,1777781612.506166,3175,0,1
2,Payment,1777781612.509395,2332,0,1
1,NewOrder,1777781612.511764,9671,0,1
2,Payment,1777781612.521481,2237,0,1
1,NewOrder,1777781612.523830,2426,0,1
3,OrderStatus,1777781612.526288,10279,0,1
2,Payment,1777781612.536601,3706,0,1
2,Payment,1777781612.540338,1521,0,1
4,Delivery,1777781612.541889,6649,0,1
1,NewOrder,1777781612.548572,11243,0,1
1,NewOrder,1777781612.559856,2354,0,1
3,OrderStatus,1777781612.562242,4290,0,1
1,NewOrder,1777781612.566572,3722,0,1
1,NewOrder,1777781612.570326,3673,0,1
2,Payment,1777781612.574030,2607,0,1
1,NewOrder,1777781612.576668,4951,0,1
1,NewOrder,1777781612.581648,4014,0,1
1,NewOrder,1777781612.585712,2163,0,1
1,NewOrder,1777781612.587974,2096,0,1
2,Payment,1777781612.590116,959,0,1
1,NewOrder,1777781612.591118,3940,0,1
1,NewOrder,1777781612.595085,2042,0,1
2,Payment,1777781612.597152,1546,0,1
5,StockLevel,1777781612.598724,934,0,1
1,NewOrder,1777781612.599742,1834,0,1
1,NewOrder,1777781612.601625,4534,0,1
2,Payment,1777781612.606191,1744,0,1
1,NewOrder,1777781612.607964,3048,0,1
