Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,292.400,3.388,0.538,1.457,2.262,3.377,6.687,9.535,19.518,170.248,0.295
5,477.400,2.067,0.333,1.092,1.595,2.355,3.193,4.885,9.815,117.906,0.484
10,580.800,1.708,0.306,0.948,1.362,2.126,2.731,4.507,6.151,28.633,0.586
15,445.600,2.223,0.266,1.027,1.594,2.455,3.622,5.237,10.413,275.632,0.450
20,495.000,2.008,0.257,0.969,1.454,2.260,3.154,4.796,8.552,138.647,0.498
25,392.600,2.531,0.337,1.251,1.848,2.888,4.767,6.453,13.378,39.754,0.395
30,150.600,6.644,0.460,1.487,2.567,5.047,11.962,19.535,59.401,682.779,0.151
35,114.800,8.601,0.399,1.675,3.567,7.576,17.164,24.886,73.428,884.547,0.116
40,318.600,3.114,0.378,0.895,1.966,3.401,6.404,9.537,22.085,45.219,0.321
45,557.600,1.781,0.312,0.656,1.299,2.181,3.191,4.323,12.076,31.348,0.562
50,587.600,1.748,0.270,0.643,1.358,2.156,3.047,4.227,7.191,220.459,0.572
55,476.200,2.017,0.274,0.632,1.373,2.244,3.889,5.487,13.264,128.550,0.496
