Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,99,99.000,1120,2865,5563,10048,9098,19236,33911,170248,170248
1,235,235.000,711,2237,3096,4223,4453,8993,10951,20378,25325
2,298,298.000,600,1655,2477,3299,4005,6728,9070,13453,19978
3,393,393.000,576,1403,1950,2518,2874,4467,6091,11419,30965
4,437,437.000,538,1231,1730,2270,2656,3502,5786,11393,20718
5,413,413.000,461,1246,1887,2400,2680,4070,6819,11104,19427
6,339,339.000,470,1217,1768,2863,2640,4515,5986,18020,117906
7,507,507.000,369,1105,1560,1952,2266,3154,4680,6730,53023
8,536,536.000,333,1076,1522,1850,2273,2888,4762,7189,10406
9,592,592.000,426,958,1328,1674,2196,2627,2970,7459,18997
10,563,563.000,357,989,1388,1777,2180,2778,4650,8238,13681
11,594,594.000,367,927,1398,1665,2176,2753,4498,5398,7293
12,547,547.000,396,985,1427,1803,2152,2661,4585,6739,28633
13,584,584.000,336,986,1376,1696,2050,2758,4498,6362,21384
14,616,616.000,306,861,1282,1609,2035,2710,4479,5299,16101
15,578,578.000,349,966,1345,1713,2142,3049,4510,7079,11459
16,535,535.000,266,962,1514,1857,2282,3054,4632,8014,19755
17,192,192.000,427,1345,2255,5201,3256,5993,12598,69966,275632
18,482,482.000,282,1162,1645,2063,2575,3529,5311,8827,13013
19,441,441.000,437,1084,1727,2209,2661,4175,5397,9641,26389
20,546,546.000,339,985,1417,1825,2173,3099,4875,7794,15862
21,626,626.000,284,971,1375,1588,2086,2618,2928,5048,6955
22,596,596.000,257,890,1303,1664,2092,2872,4540,6267,20865
23,385,385.000,301,940,1404,2669,2120,2994,4765,38829,138647
24,322,322.000,480,1331,2181,2980,3397,6432,7588,14467,33736
25,545,545.000,365,1118,1451,1827,2309,3077,3860,5676,11196
26,371,371.000,397,1342,2130,2720,3204,4887,6893,12270,36586
27,244,244.000,540,1518,2521,3998,4635,9186,12799,23222,39157
28,375,375.000,399,1294,1936,2648,2984,5168,6571,15972,39754
29,428,428.000,337,1264,1789,2323,2676,3768,5835,10288,27164
30,396,396.000,460,1257,1842,2502,2860,4591,6797,12039,28362
31,156,156.000,618,1786,3124,7004,7070,15109,28668,63870,108965
32,38,38.000,1224,2972,8495,38559,13637,102160,283688,682779,682779
33,27,27.000,1132,7358,13927,15966,20249,34575,39244,59401,59401
34,136,136.000,591,2281,4095,7519,7938,17541,28763,50451,71474
35,101,101.000,548,2326,4925,9526,8612,21659,28060,78467,94602
36,110,110.000,657,2870,4549,16420,9171,20659,30933,78823,884547
37,3,3.000,21799,21799,39697,62402,125711,125711,125711,125711,125711
38,111,111.000,599,2000,5313,9036,13101,23777,27202,46900,62346
39,249,249.000,399,1057,2398,3928,4671,9715,13644,25324,39391
40,332,332.000,430,940,2097,2983,3334,6404,9107,18840,23583
41,383,383.000,435,834,1828,2601,2863,4825,7241,19501,28786
42,295,295.000,378,782,1800,3348,3372,7274,10779,29156,43651
43,281,281.000,399,1035,2214,3538,4223,6783,9954,22085,41143
44,302,302.000,438,1008,2160,3284,3737,7079,9895,17841,45219
45,357,357.000,409,768,1808,2840,2911,5169,10509,19312,31348
46,547,547.000,312,704,1322,1776,2233,3106,4301,9142,30461
47,560,560.000,391,688,1332,1769,2133,3277,4323,11560,22446
48,628,628.000,327,631,1215,1582,2132,2862,4028,6364,17285
49,696,696.000,324,578,1145,1427,1881,2516,3691,6531,27220
50,703,703.000,299,579,1208,1414,1907,2418,3421,4577,11642
51,635,635.000,270,631,1308,1566,2112,2834,4135,5385,10063
52,449,449.000,328,684,1599,2213,2607,4332,6558,13638,24423
53,610,610.000,270,674,1313,1627,2165,3018,4147,5302,16420
54,541,541.000,326,707,1499,2144,2239,3244,4303,7376,220459
55,119,119.000,481,1651,3293,6927,6988,14469,25907,50177,128550
56,298,298.000,530,910,2290,3351,4708,7076,8827,15611,50828
57,573,573.000,357,672,1358,1732,2304,3226,4402,7663,13764
58,713,713.000,290,589,1140,1391,1945,2435,3021,4653,14554
59,678,678.000,274,575,1156,1467,1981,2501,3863,5538,19012
