Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5.800,3.051,0.966,1.214,1.692,2.709,7.131,14.215,17.227,17.227,0.328
5,9.400,1.312,0.537,1.027,1.130,1.294,1.574,1.885,6.434,6.434,0.762
10,13.400,1.011,0.470,0.790,0.920,1.027,1.593,1.739,4.583,4.583,0.989
15,17.000,1.938,0.535,0.832,0.930,1.147,1.573,2.010,76.962,76.962,0.516
20,13.800,1.153,0.557,0.812,0.919,1.270,1.804,2.391,4.262,4.262,0.868
25,14.400,0.952,0.462,0.786,0.940,1.089,1.156,1.468,2.325,2.325,1.050
30,17.400,0.930,0.415,0.714,0.863,0.985,1.219,1.404,3.657,3.657,1.075
35,25.000,1.064,0.475,0.748,0.834,1.007,1.342,1.977,2.714,15.775,0.940
40,24.200,0.880,0.520,0.740,0.823,0.947,1.155,1.322,1.856,2.244,1.136
45,18.600,0.955,0.525,0.749,0.855,1.059,1.187,1.305,6.358,6.358,1.047
50,23.000,0.777,0.508,0.674,0.758,0.837,0.937,1.082,1.393,1.556,1.287
55,21.600,0.766,0.490,0.685,0.761,0.864,0.909,0.983,1.021,1.024,1.305
