kind,shape_key,sample_sql,executions,total_elapsed_us,mean_elapsed_us,max_elapsed_us,failures,last_error_type
"UPDATE","INSERT INTO order_line VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?)","INSERT INTO order_line VALUES (1, 1, 1, 1, 53736, '2026-05-21 21:43:21.422', 0.0, 1, 5.0, 'aqhaoshdpdnfebevzzpfmzj')",300040,13037601,43,871,0,
"QUERY","SELECT S_QUANTITY, S_DATA, S_DIST_01, S_DIST_02, S_DIST_03, S_DIST_04, S_DIST_05, S_DIST_06, S_DIST_07, S_DIST_08, S_DIST_09, S_DIST_10 FROM stock WHERE S_I_ID = ? AND S_W_ID = ? FOR UPDATE","SELECT S_QUANTITY, S_DATA, S_DIST_01, S_DIST_02, S_DIST_03, S_DIST_04, S_DIST_05, S_DIST_06, S_DIST_07, S_DIST_08, S_DIST_09, S_DIST_10 FROM stock WHERE S_I_ID = 6211 AND S_W_ID = 1 FOR UPDATE",110515,6304681,57,30517,0,
"QUERY","SELECT I_PRICE, I_NAME , I_DATA FROM item WHERE I_ID = ?","SELECT I_PRICE, I_NAME , I_DATA FROM item WHERE I_ID = 6211",110609,5649278,51,12233,0,
"UPDATE","INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (?,?,?,?,?,?,?,?,?)","INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (3001,1,1,1,6211,1,6,101.81999206542969,'ksuknnruusavjsouvyawfhx ')",109665,3811954,34,1673,0,
"QUERY","SELECT C_FIRST, C_MIDDLE, C_ID, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_SINCE FROM customer WHERE C_W_ID = ? AND C_D_ID = ? AND C_LAST = ? ORDER BY C_FIRST","SELECT C_FIRST, C_MIDDLE, C_ID, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_SINCE FROM customer WHERE C_W_ID = 1 AND C_D_ID = 4 AND C_LAST = 'ATIONANTIBAR' ORDER BY C_FIRST",7040,2286598,324,9599,0,
"UPDATE","INSERT INTO stock VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)","INSERT INTO stock VALUES (1, 1, 47, 0.0, 0, 0, 'ctkpxljxmlyynjudhgzosmykyuhegobheqgrff', 'xpevttwlduqeqhwpfdyefry', 'cvawzvlmopiqagvrjlnkaxw', 'oyjethhqkzykmcdtrzbtrku', 'bwkfgxhsjhyrlknrrmbyhez', 'mgcdvpfotktbpcuadiyzspa', 'ncomudhgxgvcmhmwbovivzv', 'lbmgqaupxviaweaclixysrj', 'hwivupnljfewuxduepyjltm', 'ffjylcemerdqgmboogtvypq', 'ssrtfpqnlluuksfiiuhvrgb')",100000,2159723,21,324,0,
"UPDATE","UPDATE stock SET S_QUANTITY = ? , S_YTD = S_YTD + ?, S_ORDER_CNT = S_ORDER_CNT + 1, S_REMOTE_CNT = S_REMOTE_CNT + ? WHERE S_I_ID = ? AND S_W_ID = ?","UPDATE stock SET S_QUANTITY = 63 , S_YTD = S_YTD + 6, S_ORDER_CNT = S_ORDER_CNT + 1, S_REMOTE_CNT = S_REMOTE_CNT + 0 WHERE S_I_ID = 6211 AND S_W_ID = 1",109665,1796287,16,1607,0,
"UPDATE","INSERT INTO item VALUES (?, ?, ?, ?, ?)","INSERT INTO item VALUES (1, 'sxvnjhpdqdxvcrastvybcw', 17.93, 'mgnykrxvzxkgxtspsjdgyluegqf', 5379)",100000,1371484,13,445,0,
"QUERY","SELECT C_DISCOUNT, C_LAST, C_CREDIT FROM customer WHERE C_W_ID = ? AND C_D_ID = ? AND C_ID = ?","SELECT C_DISCOUNT, C_LAST, C_CREDIT FROM customer WHERE C_W_ID = 1 AND C_D_ID = 1 AND C_ID = 978",11046,965319,87,104223,0,
"UPDATE","UPDATE order_line SET OL_DELIVERY_D = ? WHERE OL_O_ID = ? AND OL_D_ID = ? AND OL_W_ID = ?","UPDATE order_line SET OL_DELIVERY_D = '2026-05-21 21:43:38.215' WHERE OL_O_ID = 2101 AND OL_D_ID = 1 AND OL_W_ID = 1",10070,908657,90,7356,0,
"UPDATE","INSERT INTO customer VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)","INSERT INTO customer VALUES (1, 1, 1, 0.02019999921321869, 'GC', 'BARBARBAR', 'nlaobhremjaz', 50000.0, -10.0, 10.0, 1, 0, 'udsepslfndtfihx', 'tpvstjqlmhtzeuzpz', 'wxwvlpydwodyzmopn', 'VE', '984611111', '0457746278323712', '2026-05-21 21:43:16.937', 'OE', 'kcpbhkiwdompbvrdfvoxjuyofhoarryzehbyubqfoiczsypurlchkvdlzcbzbpfugosczfgtjdgkextxvczyccyhfsiywiziyryzsygedbssfscwgnbygmkitxjsagbioxcuytlgapworwzojuiudfzqogczspmqodmlqgdqwcmhrmelhwikxviauegitokdyfkvpzdznxupzttpmdrjhxaigpbvcjerydhzkzsippbrbdxwtpgevoxfiztjijpzjdprplzwrpvdccbmcptdptablqyqjbzppquqxupaxadexzmgrfkevowbwryxizhgulrdqaitphheailqakgdodbjxvovumykbcmiahvpxzrgdysspuvkmwogskpcoqvuhvtrzhdcriymekaxbvjlecmnggtxtwyfmgmqzoufclkgwyygaeveqclzikirvkyepsmrrigcsrxuwvagcczz')",30000,827844,27,289,0,
"UPDATE","INSERT INTO oorder (O_ID, O_D_ID, O_W_ID, O_C_ID, O_ENTRY_D, O_OL_CNT, O_ALL_LOCAL) VALUES (?, ?, ?, ?, ?, ?, ?)","INSERT INTO oorder (O_ID, O_D_ID, O_W_ID, O_C_ID, O_ENTRY_D, O_OL_CNT, O_ALL_LOCAL) VALUES (3001, 1, 1, 978, '2026-05-21 21:43:37.127', 6, 1)",11046,818177,74,4990,0,
"UPDATE","INSERT INTO new_order (NO_O_ID, NO_D_ID, NO_W_ID) VALUES ( ?, ?, ?)","INSERT INTO new_order (NO_O_ID, NO_D_ID, NO_W_ID) VALUES ( 3001, 1, 1)",11046,816575,73,4258,0,
"UPDATE","UPDATE warehouse SET W_YTD = W_YTD + ? WHERE W_ID = ?","UPDATE warehouse SET W_YTD = W_YTD + 2513.510009765625 WHERE W_ID = 1",10702,797699,74,8699,0,
"QUERY","SELECT COUNT(DISTINCT (S_I_ID)) AS STOCK_COUNT FROM order_line, stock WHERE OL_W_ID = ? AND OL_D_ID = ? AND OL_O_ID < ? AND OL_O_ID >= ? AND S_W_ID = ? AND S_I_ID = OL_I_ID AND S_QUANTITY < ?","SELECT COUNT(DISTINCT (S_I_ID)) AS STOCK_COUNT FROM order_line, stock WHERE OL_W_ID = 1 AND OL_D_ID = 5 AND OL_O_ID < 3002 AND OL_O_ID >= 2982 AND S_W_ID = 1 AND S_I_ID = OL_I_ID AND S_QUANTITY < 19",1010,795941,788,18310,0,
"UPDATE","INSERT INTO history (H_C_D_ID, H_C_W_ID, H_C_ID, H_D_ID, H_W_ID, H_DATE, H_AMOUNT, H_DATA) VALUES (?,?,?,?,?,?,?,?)","INSERT INTO history (H_C_D_ID, H_C_W_ID, H_C_ID, H_D_ID, H_W_ID, H_DATE, H_AMOUNT, H_DATA) VALUES (4,1,2600,4,1,'2026-05-21 21:43:37.61',2513.510009765625,'jomlpf qbuemavbm')",10702,794548,74,7306,0,
"QUERY","SELECT O_C_ID FROM oorder WHERE O_ID = ? AND O_D_ID = ? AND O_W_ID = ?","SELECT O_C_ID FROM oorder WHERE O_ID = 2101 AND O_D_ID = 1 AND O_W_ID = 1",10070,767061,76,17408,0,
"UPDATE","UPDATE oorder SET O_CARRIER_ID = ? WHERE O_ID = ? AND O_D_ID = ? AND O_W_ID = ?","UPDATE oorder SET O_CARRIER_ID = 3 WHERE O_ID = 2101 AND O_D_ID = 1 AND O_W_ID = 1",10070,737706,73,4740,0,
"UPDATE","UPDATE customer SET C_BALANCE = ?, C_YTD_PAYMENT = ?, C_PAYMENT_CNT = ? WHERE C_W_ID = ? AND C_D_ID = ? AND C_ID = ?","UPDATE customer SET C_BALANCE = -546.219970703125, C_YTD_PAYMENT = 546.219970703125, C_PAYMENT_CNT = 2 WHERE C_W_ID = 1 AND C_D_ID = 2 AND C_ID = 1255",9570,692763,72,18810,0,
"UPDATE","UPDATE customer SET C_BALANCE = C_BALANCE + ?, C_DELIVERY_CNT = C_DELIVERY_CNT + 1 WHERE C_W_ID = ? AND C_D_ID = ? AND C_ID = ?","UPDATE customer SET C_BALANCE = C_BALANCE + 58985.6484375, C_DELIVERY_CNT = C_DELIVERY_CNT + 1 WHERE C_W_ID = 1 AND C_D_ID = 1 AND C_ID = 2765",10070,681993,67,4972,0,
"QUERY","SELECT W_TAX FROM warehouse WHERE W_ID = ?","SELECT W_TAX FROM warehouse WHERE W_ID = 1",11046,653296,59,47362,0,
"UPDATE","UPDATE district SET D_YTD = D_YTD + ? WHERE D_W_ID = ? AND D_ID = ?","UPDATE district SET D_YTD = D_YTD + 2513.510009765625 WHERE D_W_ID = 1 AND D_ID = 4",10702,642020,59,6801,0,
"UPDATE","UPDATE district SET D_NEXT_O_ID = D_NEXT_O_ID + 1 WHERE D_W_ID = ? AND D_ID = ?","UPDATE district SET D_NEXT_O_ID = D_NEXT_O_ID + 1 WHERE D_W_ID = 1 AND D_ID = 1",11046,639001,57,6943,0,
"QUERY","SELECT D_NEXT_O_ID, D_TAX FROM district WHERE D_W_ID = ? AND D_ID = ? FOR UPDATE","SELECT D_NEXT_O_ID, D_TAX FROM district WHERE D_W_ID = 1 AND D_ID = 1 FOR UPDATE",11046,628279,56,32315,0,
"QUERY","SELECT W_STREET_1, W_STREET_2, W_CITY, W_STATE, W_ZIP, W_NAME FROM warehouse WHERE W_ID = ?","SELECT W_STREET_1, W_STREET_2, W_CITY, W_STATE, W_ZIP, W_NAME FROM warehouse WHERE W_ID = 1",10702,552972,51,11225,0,
"QUERY","SELECT SUM(OL_AMOUNT) AS OL_TOTAL FROM order_line WHERE OL_O_ID = ? AND OL_D_ID = ? AND OL_W_ID = ?","SELECT SUM(OL_AMOUNT) AS OL_TOTAL FROM order_line WHERE OL_O_ID = 2101 AND OL_D_ID = 1 AND OL_W_ID = 1",10070,537488,53,9719,0,
"QUERY","SELECT NO_O_ID FROM new_order WHERE NO_D_ID = ? AND NO_W_ID = ? ORDER BY NO_O_ID ASC LIMIT 1","SELECT NO_O_ID FROM new_order WHERE NO_D_ID = 1 AND NO_W_ID = 1 ORDER BY NO_O_ID ASC LIMIT 1",10070,536780,53,1591,0,
