Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.400,20.081,10.424,12.086,16.251,22.348,41.027,43.599,43.599,43.599,0.050
5,7.800,15.086,8.349,10.627,12.136,13.197,24.439,34.284,92.078,92.078,0.066
10,13.200,10.308,5.768,6.346,7.773,9.917,18.249,28.847,45.009,45.009,0.097
15,17.000,7.690,5.844,6.348,6.623,7.577,9.385,10.149,34.881,34.881,0.130
20,19.400,6.778,5.395,6.017,6.298,6.817,7.617,8.702,30.749,30.749,0.148
25,20.000,6.605,4.314,5.882,6.385,6.874,7.968,9.726,20.344,20.344,0.151
30,22.800,5.240,4.140,4.945,5.118,5.400,5.672,5.886,7.746,8.388,0.191
35,24.000,5.333,4.791,5.002,5.163,5.370,5.741,6.326,7.955,12.427,0.188
40,16.400,7.256,4.346,5.090,5.346,6.544,13.225,20.400,29.118,29.118,0.138
45,19.400,6.111,4.582,5.123,5.329,5.886,7.476,10.861,28.242,28.242,0.164
50,23.400,5.866,4.461,5.098,5.390,5.710,6.908,8.164,16.920,26.299,0.170
55,14.600,8.775,4.456,5.545,6.371,9.455,15.005,19.383,53.707,53.707,0.114
