Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,4.000,16.894,1.959,3.595,5.920,9.981,45.355,171.964,171.964,171.964,0.059
5,9.000,3.254,0.915,1.750,2.167,4.034,6.255,8.389,13.250,13.250,0.307
10,10.800,2.760,0.419,0.847,1.536,3.710,6.014,11.202,17.424,17.424,0.362
15,15.000,1.385,0.397,0.686,1.176,1.495,1.828,2.914,14.063,14.063,0.722
20,18.000,1.365,0.403,0.703,1.134,1.398,2.393,2.864,5.923,5.923,0.733
25,20.400,1.450,0.343,0.556,1.020,1.466,2.039,2.885,11.002,17.320,0.690
30,19.600,0.850,0.332,0.451,0.520,0.668,1.151,1.476,20.120,20.120,1.176
35,22.400,0.541,0.348,0.432,0.489,0.564,0.740,1.000,1.400,1.555,1.849
40,18.000,0.706,0.335,0.439,0.522,0.674,1.375,1.671,4.016,4.016,1.416
45,21.800,0.769,0.356,0.445,0.514,0.727,1.105,1.563,6.826,7.710,1.300
50,21.000,0.609,0.314,0.427,0.483,0.549,0.704,0.818,1.151,10.340,1.643
55,13.200,0.853,0.337,0.468,0.541,0.635,1.306,1.657,8.839,8.839,1.172
