Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,4.600,7.165,0.843,1.259,1.830,4.014,14.983,20.372,83.268,83.268,0.140
5,9.200,1.329,0.655,0.964,1.171,1.599,1.786,2.025,3.949,3.949,0.752
10,10.400,1.189,0.527,0.782,1.008,1.247,1.821,2.484,4.698,4.698,0.841
15,18.000,0.916,0.443,0.715,0.836,1.016,1.262,1.457,3.086,3.086,1.092
20,18.800,0.868,0.458,0.717,0.801,0.915,1.099,1.375,3.808,3.808,1.152
25,18.200,1.051,0.554,0.729,0.815,0.953,1.084,1.187,18.059,18.059,0.951
30,24.200,0.809,0.508,0.719,0.786,0.856,1.009,1.117,1.300,1.479,1.236
35,21.800,0.798,0.531,0.689,0.788,0.861,0.985,1.117,1.311,1.367,1.254
40,18.800,0.977,0.457,0.712,0.844,1.031,1.552,1.834,4.276,4.276,1.023
45,19.000,0.921,0.529,0.760,0.878,1.014,1.233,1.498,2.482,2.482,1.085
50,23.200,0.943,0.505,0.756,0.850,0.979,1.209,1.334,2.784,6.761,1.061
55,15.800,1.333,0.512,0.929,1.067,1.611,2.714,2.921,3.626,3.626,0.750
