Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,97.400,10.146,0.843,3.115,5.896,9.408,16.251,28.517,100.173,298.096,0.099
5,207.000,4.785,0.655,2.054,3.457,5.349,8.967,12.928,25.253,92.078,0.209
10,299.800,3.303,0.419,1.422,2.408,3.743,6.057,8.263,19.800,56.972,0.303
15,405.400,2.437,0.397,1.219,1.931,3.096,4.016,6.240,9.464,34.881,0.410
20,449.200,2.206,0.403,1.174,1.816,2.898,3.607,5.503,7.285,30.749,0.453
25,446.200,2.226,0.343,0.864,1.712,2.878,3.953,5.895,9.361,33.601,0.449
30,571.200,1.742,0.332,0.722,1.426,2.453,3.067,4.032,5.636,24.013,0.574
35,576.200,1.725,0.348,0.727,1.226,2.463,3.088,4.332,5.540,30.436,0.580
40,440.200,2.255,0.335,0.760,1.664,2.822,4.457,6.096,13.225,29.118,0.443
45,529.600,1.877,0.356,0.748,1.493,2.552,3.248,4.957,7.710,41.409,0.533
50,547.400,1.815,0.314,0.733,1.295,2.569,3.199,4.763,6.952,26.299,0.551
55,376.400,2.636,0.337,0.827,1.874,3.006,5.417,7.147,13.974,211.942,0.379
