Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1779576587.912832,932419,0,1
2,Payment,1779576588.845739,93811,0,1
1,NewOrder,1779576588.939596,269893,0,1
1,NewOrder,1779576589.209563,180725,0,1
3,OrderStatus,1779576589.390362,172084,0,1
2,Payment,1779576589.562505,74554,0,1
2,Payment,1779576589.637101,61323,0,1
1,NewOrder,1779576589.698461,194959,0,1
1,NewOrder,1779576589.893468,315264,0,1
1,NewOrder,1779576590.209844,292885,0,1
1,NewOrder,1779576590.502773,145078,0,1
2,Payment,1779576590.647998,84778,0,1
2,Payment,1779576590.732816,60342,0,1
1,NewOrder,1779576590.793198,222780,0,1
2,Payment,1779576591.016105,46316,0,1
4,Delivery,1779576591.062462,446775,0,1
2,Payment,1779576591.509303,30529,0,1
1,NewOrder,1779576591.539877,197043,0,1
2,Payment,1779576591.737060,80388,0,1
1,NewOrder,1779576591.817494,132381,0,1
1,NewOrder,1779576591.949920,158607,0,1
1,NewOrder,1779576592.108595,139973,0,1
2,Payment,1779576592.248651,54786,0,1
2,Payment,1779576592.303481,16295,0,1
1,NewOrder,1779576592.319816,83401,0,1
1,NewOrder,1779576592.403264,87047,0,1
1,NewOrder,1779576592.490378,105702,0,1
1,NewOrder,1779576592.596128,44751,0,1
2,Payment,1779576592.640939,52219,0,1
2,Payment,1779576592.693204,46278,0,1
2,Payment,1779576592.739525,52101,0,1
2,Payment,1779576592.791670,15720,0,1
1,NewOrder,1779576592.807446,168424,0,1
2,Payment,1779576592.975949,13478,0,1
1,NewOrder,1779576592.989463,57430,0,1
1,NewOrder,1779576593.046952,112406,0,1
4,Delivery,1779576593.160242,374249,0,1
1,NewOrder,1779576593.534666,69595,0,1
1,NewOrder,1779576593.604440,78390,0,1
1,NewOrder,1779576593.682922,74460,0,1
1,NewOrder,1779576593.757441,91815,0,1
1,NewOrder,1779576593.849337,98370,0,1
1,NewOrder,1779576593.947777,133847,0,1
2,Payment,1779576594.081716,50226,0,1
4,Delivery,1779576594.132056,355889,0,1
3,OrderStatus,1779576594.488121,119677,0,1
3,OrderStatus,1779576594.607863,88770,0,1
1,NewOrder,1779576594.696692,70621,0,1
1,NewOrder,1779576594.767379,45685,0,1
2,Payment,1779576594.813142,58730,0,1
1,NewOrder,1779576594.872004,131782,0,1
1,NewOrder,1779576595.003935,138862,0,1
1,NewOrder,1779576595.142868,47221,0,1
2,Payment,1779576595.190159,70265,0,1
1,NewOrder,1779576595.261008,66675,0,1
2,Payment,1779576595.327786,43621,0,1
2,Payment,1779576595.371470,44933,0,1
3,OrderStatus,1779576595.416478,120753,0,1
2,Payment,1779576595.537297,24955,0,1
2,Payment,1779576595.562317,48254,0,1
1,NewOrder,1779576595.610627,94570,0,1
1,NewOrder,1779576595.705293,55355,0,1
2,Payment,1779576595.760717,56537,0,1
1,NewOrder,1779576595.817318,52252,0,1
2,Payment,1779576595.869685,43687,0,1
2,Payment,1779576595.913534,43838,0,1
2,Payment,1779576595.957431,97669,0,1
3,OrderStatus,1779576596.055267,124128,0,1
2,Payment,1779576596.179630,57321,0,1
2,Payment,1779576596.237112,53865,0,1
2,Payment,1779576596.291062,28355,0,1
1,NewOrder,1779576596.319504,121810,0,1
2,Payment,1779576596.441409,57947,0,1
1,NewOrder,1779576596.499446,61219,0,1
2,Payment,1779576596.560750,50913,0,1
1,NewOrder,1779576596.611745,89501,0,1
1,NewOrder,1779576596.701330,47441,0,1
1,NewOrder,1779576596.748864,43142,0,1
2,Payment,1779576596.792092,11749,0,1
3,OrderStatus,1779576596.803894,128605,0,1
1,NewOrder,1779576596.932589,100689,0,1
1,NewOrder,1779576597.033368,82514,0,1
5,StockLevel,1779576597.115969,735586,0,1
2,Payment,1779576597.851687,21288,0,1
2,Payment,1779576597.873058,52280,0,1
2,Payment,1779576597.925443,65916,0,1
1,NewOrder,1779576597.991419,90228,0,1
3,OrderStatus,1779576598.081740,123767,0,1
1,NewOrder,1779576598.205600,37965,0,1
1,NewOrder,1779576598.243661,95754,0,1
1,NewOrder,1779576598.340059,68775,0,1
5,StockLevel,1779576598.408948,975758,0,1
3,OrderStatus,1779576599.384823,118815,0,1
1,NewOrder,1779576599.503722,79270,0,1
2,Payment,1779576599.583097,46030,0,1
1,NewOrder,1779576599.629191,48798,0,1
1,NewOrder,1779576599.678092,66166,0,1
2,Payment,1779576599.744336,10125,0,1
1,NewOrder,1779576599.754518,70026,0,1
1,NewOrder,1779576599.824629,75750,0,1
2,Payment,1779576599.900492,10656,0,1
2,Payment,1779576599.911214,12646,0,1
2,Payment,1779576599.923938,112608,0,1
2,Payment,1779576600.036734,60298,0,1
1,NewOrder,1779576600.097135,84814,0,1
2,Payment,1779576600.182134,10323,0,1
1,NewOrder,1779576600.192548,78799,0,1
1,NewOrder,1779576600.271431,52120,0,1
2,Payment,1779576600.323629,48800,0,1
1,NewOrder,1779576600.372503,62504,0,1
1,NewOrder,1779576600.435149,67465,0,1
2,Payment,1779576600.502745,54117,0,1
1,NewOrder,1779576600.556968,94086,0,1
5,StockLevel,1779576600.651143,848260,0,1
5,StockLevel,1779576601.499527,625958,0,1
2,Payment,1779576602.125599,54702,0,1
2,Payment,1779576602.180398,42853,0,1
2,Payment,1779576602.223317,41006,0,1
2,Payment,1779576602.264381,42639,0,1
1,NewOrder,1779576602.307095,77637,0,1
1,NewOrder,1779576602.384812,11402,0,1
1,NewOrder,1779576602.396281,16054,0,1
2,Payment,1779576602.412993,10875,0,1
1,NewOrder,1779576602.424042,10459,0,1
2,Payment,1779576602.434556,3094,0,1
5,StockLevel,1779576602.437784,4490,0,1
2,Payment,1779576602.442314,9531,0,1
1,NewOrder,1779576602.452055,5496,0,1
2,Payment,1779576602.457636,7209,0,1
1,NewOrder,1779576602.464889,6964,0,1
1,NewOrder,1779576602.471911,11623,0,1
2,Payment,1779576602.483612,11629,0,1
2,Payment,1779576602.495484,5009,0,1
3,OrderStatus,1779576602.500642,19259,0,1
1,NewOrder,1779576602.519988,6147,0,1
1,NewOrder,1779576602.526197,10730,0,1
2,Payment,1779576602.536980,5456,0,1
1,NewOrder,1779576602.542480,5965,0,1
3,OrderStatus,1779576602.548488,4401,0,1
2,Payment,1779576602.552973,4032,0,1
1,NewOrder,1779576602.557140,3707,0,1
4,Delivery,1779576602.560883,7547,0,1
4,Delivery,1779576602.568475,3765,0,1
1,NewOrder,1779576602.572321,2814,0,1
1,NewOrder,1779576602.575170,2807,0,1
2,Payment,1779576602.578030,2146,0,1
2,Payment,1779576602.580207,2351,0,1
4,Delivery,1779576602.582625,4179,0,1
2,Payment,1779576602.586860,4245,0,1
2,Payment,1779576602.591272,4718,0,1
2,Payment,1779576602.596055,2757,0,1
2,Payment,1779576602.598864,2394,0,1
1,NewOrder,1779576602.601300,3400,0,1
2,Payment,1779576602.604756,2493,0,1
3,OrderStatus,1779576602.607301,3592,0,1
1,NewOrder,1779576602.610929,2886,0,1
2,Payment,1779576602.613906,2410,0,1
2,Payment,1779576602.616354,3136,0,1
1,NewOrder,1779576602.619539,2917,0,1
1,NewOrder,1779576602.622510,3070,0,1
2,Payment,1779576602.625675,2248,0,1
2,Payment,1779576602.627957,1935,0,1
3,OrderStatus,1779576602.629931,10240,0,1
4,Delivery,1779576602.640327,3302,0,1
2,Payment,1779576602.650078,2253,0,1
2,Payment,1779576602.652372,1819,0,1
2,Payment,1779576602.654223,1747,0,1
2,Payment,1779576602.656001,1852,0,1
4,Delivery,1779576602.657883,10218,0,1
2,Payment,1779576602.668152,3476,0,1
2,Payment,1779576602.671661,2210,0,1
3,OrderStatus,1779576602.673900,7810,0,1
1,NewOrder,1779576602.681748,2256,0,1
1,NewOrder,1779576602.684044,3222,0,1
1,NewOrder,1779576602.687300,3308,0,1
1,NewOrder,1779576602.690641,2162,0,1
2,Payment,1779576602.692834,1543,0,1
1,NewOrder,1779576602.694410,9888,0,1
2,Payment,1779576602.704334,1861,0,1
1,NewOrder,1779576602.706228,2075,0,1
2,Payment,1779576602.708334,1600,0,1
3,OrderStatus,1779576602.709961,2440,0,1
