Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.200,446.775,446.775,446.775,446.775,446.775,446.775,446.775,446.775,446.775,0.002
5,0.400,365.069,355.889,355.889,374.249,374.249,374.249,374.249,374.249,374.249,0.003
10,1.800,4.765,2.475,3.302,4.012,4.486,10.218,10.218,10.218,10.218,0.210
15,16.400,2.844,1.752,2.005,2.186,2.584,3.869,4.998,21.851,21.851,0.352
20,17.600,2.561,1.683,1.894,2.097,2.408,2.917,3.902,22.040,22.040,0.390
25,23.000,2.375,1.595,1.835,1.927,2.217,3.763,5.636,7.341,9.015,0.421
30,24.400,2.084,1.432,1.712,1.854,2.011,2.439,3.577,6.854,10.441,0.480
35,25.600,2.131,1.367,1.751,1.873,2.091,2.391,3.162,7.126,10.369,0.469
40,27.800,2.116,1.433,1.733,1.860,1.984,2.372,3.857,9.175,12.815,0.473
45,26.000,2.128,1.399,1.763,1.880,2.111,2.549,3.100,8.858,10.410,0.470
50,21.000,2.351,1.454,1.753,1.853,2.008,2.250,2.630,9.867,32.296,0.425
55,28.800,2.075,1.568,1.718,1.825,1.993,2.168,2.775,9.353,12.308,0.482
