Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.200,171.182,44.751,132.381,168.424,222.780,292.885,315.264,315.264,315.264,0.006
5,4.800,81.902,43.142,57.430,78.390,100.689,131.782,133.847,138.862,138.862,0.012
10,13.000,21.160,2.075,2.606,3.400,16.054,77.637,84.814,95.754,95.754,0.047
15,185.600,2.779,1.505,1.863,2.034,2.429,3.377,5.491,20.470,44.380,0.360
20,193.000,2.585,1.426,1.717,1.879,2.140,2.892,4.300,13.873,144.882,0.387
25,235.200,2.192,1.345,1.635,1.750,1.936,2.575,3.754,11.154,30.912,0.456
30,269.600,1.979,1.274,1.550,1.651,1.808,2.295,2.993,10.091,36.041,0.505
35,245.800,2.081,1.200,1.550,1.681,1.905,2.480,3.470,11.512,28.861,0.481
40,282.200,1.862,1.220,1.581,1.677,1.805,2.106,2.674,5.892,15.326,0.537
45,264.200,1.932,1.199,1.559,1.672,1.842,2.192,2.993,6.989,37.168,0.518
50,279.800,1.912,1.292,1.536,1.629,1.772,2.052,2.700,8.213,64.567,0.523
55,295.000,1.865,1.294,1.536,1.633,1.775,2.080,2.746,6.793,20.882,0.536
