Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.200,172.084,172.084,172.084,172.084,172.084,172.084,172.084,172.084,172.084,0.006
5,1.000,116.387,88.770,119.677,120.753,124.128,128.605,128.605,128.605,128.605,0.009
10,1.600,36.291,2.440,4.401,10.240,118.815,123.767,123.767,123.767,123.767,0.028
15,16.000,3.038,1.761,1.987,2.186,2.543,4.890,8.348,29.867,29.867,0.329
20,14.200,2.699,1.623,1.894,2.040,2.662,4.256,7.390,11.800,11.800,0.370
25,23.800,2.238,1.588,1.768,1.881,2.058,2.607,3.829,9.233,13.820,0.447
30,18.600,2.146,1.451,1.687,1.796,2.002,2.470,4.882,9.432,9.432,0.466
35,23.200,2.079,1.367,1.677,1.815,2.094,2.815,3.142,5.540,11.846,0.481
40,27.600,2.014,1.481,1.662,1.785,1.935,2.395,3.240,6.545,9.930,0.497
45,28.200,1.848,1.370,1.668,1.791,1.941,2.185,2.430,2.847,3.657,0.541
50,21.200,1.911,1.479,1.623,1.714,1.876,2.429,2.828,4.844,5.538,0.523
55,27.000,1.932,1.438,1.642,1.748,1.913,2.518,2.914,4.833,5.633,0.518
