Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.000,113.457,15.720,46.278,54.786,80.388,93.811,932.419,932.419,932.419,0.009
5,4.000,46.496,11.749,43.621,50.226,57.321,70.265,97.669,97.669,97.669,0.022
10,13.600,11.784,1.543,1.934,2.957,10.125,46.030,54.702,112.608,112.608,0.085
15,175.200,1.861,1.031,1.294,1.435,1.755,2.533,3.746,8.677,48.255,0.537
20,187.800,1.893,0.902,1.137,1.254,1.468,1.971,2.946,13.216,122.338,0.528
25,214.400,1.421,0.831,1.017,1.097,1.250,1.793,2.568,7.466,22.797,0.704
30,250.400,1.251,0.840,0.980,1.056,1.185,1.451,2.002,5.249,22.274,0.799
35,253.400,1.287,0.744,0.950,1.047,1.212,1.638,2.103,4.931,36.380,0.777
40,263.200,1.151,0.739,0.924,0.987,1.076,1.291,1.582,3.518,29.181,0.869
45,267.200,1.190,0.696,0.897,0.969,1.062,1.312,1.807,5.941,30.273,0.840
50,271.000,1.172,0.687,0.881,0.943,1.031,1.203,1.565,6.973,29.637,0.854
55,267.800,1.063,0.683,0.875,0.938,1.024,1.224,1.526,3.293,21.239,0.941
