Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
5,0.200,735.586,735.586,735.586,735.586,735.586,735.586,735.586,735.586,735.586,0.001
10,1.200,409.816,2.185,2.244,625.958,848.260,975.758,975.758,975.758,975.758,0.002
15,15.000,2.773,1.543,1.811,2.026,2.511,3.426,7.395,21.579,21.579,0.361
20,20.200,2.114,1.401,1.717,1.819,2.030,2.443,3.295,9.548,10.796,0.473
25,21.800,2.101,1.362,1.629,1.757,2.008,2.713,3.182,7.944,13.052,0.476
30,21.000,1.899,1.289,1.541,1.629,1.846,2.339,3.283,7.220,8.897,0.527
35,20.200,2.139,1.299,1.551,1.680,1.947,2.657,4.044,11.057,13.658,0.467
40,23.600,1.767,1.257,1.585,1.677,1.808,2.073,2.499,2.956,5.427,0.566
45,26.200,1.862,1.341,1.560,1.663,1.824,2.210,2.998,5.765,7.870,0.537
50,23.600,1.835,1.390,1.541,1.629,1.776,2.138,3.413,5.213,7.757,0.545
55,23.600,1.713,1.313,1.505,1.611,1.778,1.978,2.574,3.304,4.557,0.584
