Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,6.600,153.322,15.720,54.786,93.811,180.725,292.885,446.775,932.419,932.419,0.007
5,10.400,95.062,11.749,48.254,66.675,100.689,131.782,355.889,735.586,735.586,0.011
10,31.200,31.851,1.543,2.394,3.592,11.402,68.775,94.086,848.260,975.758,0.031
15,408.200,2.398,1.031,1.510,1.887,2.265,3.153,4.645,13.255,48.255,0.417
20,432.800,2.265,0.902,1.302,1.715,2.017,2.696,3.880,13.158,144.882,0.441
25,518.200,1.879,0.831,1.147,1.640,1.865,2.357,3.631,9.868,30.912,0.532
30,584.000,1.674,0.840,1.086,1.526,1.730,2.089,2.777,7.753,36.041,0.597
35,568.200,1.731,0.744,1.073,1.534,1.789,2.214,3.021,8.624,36.380,0.578
40,624.400,1.577,0.739,1.015,1.556,1.737,1.971,2.394,5.427,29.181,0.634
45,611.800,1.609,0.696,0.991,1.535,1.754,2.071,2.532,6.787,37.168,0.621
50,616.600,1.599,0.687,0.964,1.506,1.690,1.939,2.357,7.646,64.567,0.626
55,642.200,1.537,0.683,0.967,1.515,1.706,1.938,2.400,5.633,21.239,0.651
