Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,2,2.000,93811,93811,932419,513115,932419,932419,932419,932419,932419
1,7,7.000,61323,74554,180725,181257,269893,315264,315264,315264,315264
2,5,5.000,60342,84778,145078,161172,222780,292885,292885,292885,292885
3,6,6.000,30529,46316,132381,155572,197043,446775,446775,446775,446775
4,13,13.000,15720,46278,54786,78869,105702,158607,168424,168424,168424
5,9,9.000,13478,69595,78390,107799,98370,374249,374249,374249,374249
6,9,9.000,45685,58730,88770,117247,131782,355889,355889,355889,355889
7,14,14.000,24955,44933,55355,64852,70265,120753,138862,138862,138862
8,15,15.000,11749,43838,57321,67833,97669,124128,128605,128605,128605
9,5,5.000,21288,52280,82514,198471,100689,735586,735586,735586,735586
10,7,7.000,37965,65916,90228,208309,123767,975758,975758,975758,975758
11,10,10.000,10125,12646,66166,53828,75750,118815,118815,118815,118815
12,12,12.000,10323,54117,67465,131182,94086,112608,848260,848260,848260
13,1,1.000,625958,625958,625958,625958,625958,625958,625958,625958,625958
14,126,126.000,1543,2253,2903,6128,5009,10875,16054,54702,77637
15,317,317.000,1332,1917,2294,3077,2792,5374,8040,12490,44380
16,403,403.000,1194,1541,1930,2436,2288,2890,3603,12403,48255
17,374,374.000,1108,1410,1828,2600,2166,3812,6814,23691,31600
18,475,475.000,1090,1409,1866,2062,2113,2584,3188,7837,31550
19,472,472.000,1031,1332,1782,2084,2049,2898,4057,9217,30754
20,501,501.000,969,1352,1675,1963,1960,2355,2964,6708,41420
21,308,308.000,953,1307,1700,3249,1991,4138,7771,22040,144882
22,445,445.000,977,1326,1770,2166,2038,2721,3317,8900,72326
23,447,447.000,961,1277,1729,2192,2035,2692,3628,15126,40444
24,463,463.000,902,1226,1693,2101,2035,2665,3937,11908,47073
25,505,505.000,973,1197,1685,1935,1907,2332,2904,10444,30912
26,516,516.000,903,1253,1661,1888,1867,2498,3628,9804,13820
27,438,438.000,831,1151,1707,2213,1998,3396,6905,11335,27605
28,507,507.000,859,1155,1657,1908,1890,2530,3763,9569,22797
29,625,625.000,865,1047,1516,1568,1742,1991,2328,5038,14783
30,592,592.000,846,1057,1470,1660,1704,1993,2777,9913,22274
31,614,614.000,878,1069,1503,1601,1681,2047,2558,7753,14263
32,533,533.000,879,1243,1565,1809,1759,2317,2940,7958,36041
33,585,585.000,847,1142,1567,1672,1777,2156,2785,6374,15216
34,596,596.000,840,1041,1532,1641,1730,1984,2578,10379,15378
35,526,526.000,803,1141,1534,1904,1828,2320,3439,17094,23651
36,480,480.000,842,1171,1652,2006,1899,2729,4290,11418,36380
37,569,569.000,787,1063,1592,1755,1819,2319,2772,9478,28861
38,573,573.000,744,1051,1586,1690,1797,2208,2823,8428,13658
39,693,693.000,773,958,1390,1421,1591,1878,2218,4044,13562
40,627,627.000,739,972,1512,1563,1673,1850,2239,5427,29181
41,634,634.000,790,1021,1554,1557,1748,1971,2288,4262,20538
42,627,627.000,812,1012,1569,1564,1764,2074,2595,4589,12497
43,600,600.000,781,1042,1576,1644,1771,2089,2870,7182,12215
44,634,634.000,741,1006,1595,1556,1741,1937,2222,5145,18221
45,474,474.000,827,1133,1721,2069,2032,2721,4645,11535,37168
46,625,625.000,718,1013,1562,1570,1761,1968,2223,5383,24412
47,551,551.000,789,1048,1647,1788,1894,2235,3043,9017,30273
48,716,716.000,759,947,1505,1381,1644,1791,1921,3007,9709
49,693,693.000,696,919,1446,1423,1603,1797,2128,5112,13070
50,678,678.000,709,973,1534,1456,1685,1829,1943,4242,17142
51,652,652.000,724,955,1513,1514,1691,1929,2325,6234,12614
52,746,746.000,687,901,1444,1320,1581,1716,1861,2647,9930
53,375,375.000,755,1147,1735,2619,2130,3569,6973,21497,64567
54,632,632.000,698,975,1523,1560,1689,1874,2425,7489,13566
55,511,511.000,772,1096,1706,1919,2003,2735,4072,7989,20882
56,681,681.000,751,966,1542,1451,1703,1838,1967,2736,21239
57,633,633.000,785,983,1568,1560,1713,1905,2213,5129,16468
58,749,749.000,683,881,1450,1322,1535,1657,1741,2486,12308
59,637,637.000,713,951,1542,1551,1717,1973,2624,6330,13853
