Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1779576772.339138,120644,0,1
2,Payment,1779576772.460906,113967,0,1
1,NewOrder,1779576772.574965,44823,0,1
5,StockLevel,1779576772.619842,25818,0,1
2,Payment,1779576772.645720,3770,0,1
2,Payment,1779576772.649535,2810,0,1
1,NewOrder,1779576772.652377,12582,0,1
1,NewOrder,1779576772.664996,24855,0,1
2,Payment,1779576772.689894,14104,0,1
1,NewOrder,1779576772.704035,17828,0,1
4,Delivery,1779576772.721908,38537,0,1
2,Payment,1779576772.760525,4505,0,1
2,Payment,1779576772.765067,3327,0,1
5,StockLevel,1779576772.768425,4182,0,1
2,Payment,1779576772.772635,4494,0,1
1,NewOrder,1779576772.777169,15147,0,1
1,NewOrder,1779576772.792354,16322,0,1
2,Payment,1779576772.808728,4581,0,1
2,Payment,1779576772.813358,5656,0,1
2,Payment,1779576772.819047,2811,0,1
1,NewOrder,1779576772.821887,7109,0,1
1,NewOrder,1779576772.829027,8340,0,1
1,NewOrder,1779576772.837423,12493,0,1
2,Payment,1779576772.849951,4911,0,1
2,Payment,1779576772.854893,4204,0,1
2,Payment,1779576772.859149,2626,0,1
2,Payment,1779576772.861802,2532,0,1
1,NewOrder,1779576772.864362,9740,0,1
1,NewOrder,1779576772.874154,11080,0,1
1,NewOrder,1779576772.885274,10236,0,1
1,NewOrder,1779576772.895548,12545,0,1
1,NewOrder,1779576772.908157,11362,0,1
2,Payment,1779576772.919568,3688,0,1
2,Payment,1779576772.923290,2641,0,1
2,Payment,1779576772.925960,2611,0,1
1,NewOrder,1779576772.928603,73752,0,1
2,Payment,1779576773.002520,26047,0,1
2,Payment,1779576773.028674,16579,0,1
1,NewOrder,1779576773.045652,37583,0,1
1,NewOrder,1779576773.083304,23466,0,1
1,NewOrder,1779576773.106839,20667,0,1
2,Payment,1779576773.127569,2992,0,1
2,Payment,1779576773.130598,2864,0,1
1,NewOrder,1779576773.133520,12374,0,1
2,Payment,1779576773.145973,11996,0,1
2,Payment,1779576773.158048,4233,0,1
2,Payment,1779576773.162325,11141,0,1
1,NewOrder,1779576773.173667,10010,0,1
2,Payment,1779576773.183756,5825,0,1
1,NewOrder,1779576773.189654,12451,0,1
1,NewOrder,1779576773.202289,10997,0,1
2,Payment,1779576773.213968,7426,0,1
2,Payment,1779576773.221600,4020,0,1
2,Payment,1779576773.225815,6444,0,1
2,Payment,1779576773.234195,6713,0,1
1,NewOrder,1779576773.241033,9938,0,1
1,NewOrder,1779576773.251036,15216,0,1
2,Payment,1779576773.266334,7145,0,1
1,NewOrder,1779576773.273601,14966,0,1
1,NewOrder,1779576773.288722,13276,0,1
1,NewOrder,1779576773.302081,25856,0,1
1,NewOrder,1779576773.328008,15330,0,1
2,Payment,1779576773.343399,5052,0,1
2,Payment,1779576773.348521,2764,0,1
2,Payment,1779576773.351366,3817,0,1
2,Payment,1779576773.355440,3034,0,1
2,Payment,1779576773.358589,5256,0,1
