Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,65.400,8.706,2.298,4.445,6.039,9.219,12.582,17.204,44.823,225.786,0.115
5,139.800,4.001,1.507,2.621,3.353,4.393,6.826,8.333,14.978,32.929,0.250
10,199.000,3.071,1.372,2.084,2.674,3.171,3.869,5.510,12.519,53.190,0.326
15,245.000,2.557,1.320,1.918,2.380,2.836,3.186,3.532,7.694,26.283,0.391
20,231.400,2.617,1.342,1.957,2.435,2.927,3.263,3.836,9.282,17.435,0.382
25,248.200,2.528,1.322,1.962,2.425,2.902,3.240,3.458,5.101,22.716,0.396
30,261.800,2.489,1.333,1.941,2.427,2.864,3.161,3.416,5.357,15.429,0.402
35,216.400,2.918,1.304,2.029,2.562,3.060,3.609,4.243,9.324,142.277,0.343
40,169.400,3.488,1.466,2.205,2.802,3.391,4.114,5.591,22.145,113.107,0.287
45,190.800,3.123,1.385,2.115,2.716,3.225,4.030,5.021,10.429,74.268,0.320
50,224.800,2.848,1.376,2.109,2.688,3.228,3.726,4.417,7.015,33.347,0.351
55,223.600,2.828,1.448,2.020,2.530,3.079,3.503,4.082,9.844,46.508,0.354
