Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,70.600,4.079,1.014,1.620,2.454,3.914,6.352,8.946,26.047,120.644,0.245
5,141.400,1.766,0.662,0.970,1.174,1.621,2.852,5.442,9.065,38.100,0.566
10,203.600,1.098,0.591,0.748,0.827,0.992,1.321,1.903,6.287,20.514,0.911
15,225.600,0.872,0.582,0.699,0.742,0.833,1.059,1.300,2.764,19.119,1.147
20,236.200,0.867,0.588,0.693,0.734,0.819,0.992,1.243,3.055,10.734,1.154
25,249.400,0.795,0.612,0.687,0.725,0.791,0.896,1.019,1.611,17.397,1.257
30,247.800,0.801,0.577,0.682,0.717,0.775,0.879,1.014,1.805,32.072,1.248
35,203.800,0.935,0.614,0.695,0.760,0.862,1.096,1.435,3.995,31.386,1.069
40,169.000,1.109,0.591,0.736,0.810,0.963,1.322,1.872,5.936,34.092,0.902
45,211.600,1.084,0.588,0.717,0.788,0.950,1.355,1.894,7.973,28.371,0.923
50,221.800,0.898,0.580,0.707,0.776,0.890,1.091,1.339,2.997,10.721,1.113
55,212.600,0.886,0.610,0.709,0.767,0.867,1.049,1.278,2.967,11.312,1.128
