Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,62,62.000,2532,4494,10997,16067,15330,26047,44823,120644,120644
1,117,117.000,1662,2764,5241,8579,9209,15338,17204,31278,225786
2,146,146.000,1560,2813,5146,6624,8291,12455,14992,44304,46697
3,186,186.000,1266,2182,3890,5288,5860,9021,10530,51516,79151
4,243,243.000,923,1445,2975,4084,5278,8650,11257,16275,32327
5,285,285.000,869,1291,2539,3464,4331,6567,9220,15890,26857
6,281,281.000,755,1303,2586,3543,4325,7704,9032,14978,32929
7,294,294.000,736,1272,2403,3372,4177,7558,9135,14819,24975
8,343,343.000,669,1095,2100,2884,3382,5922,7714,13249,38100
9,402,402.000,554,939,1834,2437,2958,4562,6831,10985,17958
10,477,477.000,497,845,1373,2082,2716,3663,5503,10112,25840
11,358,358.000,676,961,1842,2759,3170,5476,6878,15329,45983
12,442,442.000,531,829,1437,2261,2900,4235,6042,11780,53190
13,484,484.000,457,801,1613,2028,2831,3474,5181,8257,19933
14,535,535.000,449,762,1379,1848,2474,3161,5296,7251,16778
15,519,519.000,499,770,1572,1906,2542,3222,4915,6485,26283
16,526,526.000,525,739,1289,1878,2387,3141,5040,11573,19693
17,525,525.000,365,757,1638,1890,2601,3185,5243,7428,18584
18,536,536.000,381,729,1528,1848,2527,3066,5046,7305,19440
19,545,545.000,422,739,1600,1806,2471,3158,3669,5743,21341
20,540,540.000,429,725,1316,1840,2590,3178,4917,7624,17435
21,547,547.000,389,729,1540,1777,2559,3063,3616,6082,9741
22,467,467.000,452,728,1656,2112,2610,3505,5552,10203,42658
23,512,512.000,443,764,1130,1936,2574,3514,5728,8373,13978
24,576,576.000,360,722,1045,1727,2357,3142,5249,6119,13292
25,598,598.000,389,710,906,1660,2331,2999,3523,5816,22716
26,562,562.000,425,728,1123,1768,2464,3287,5198,5873,13957
27,576,576.000,356,724,1108,1725,2466,3140,4664,5853,14132
28,545,545.000,427,713,1495,1827,2633,3168,3629,7232,17397
29,559,559.000,384,729,1239,1777,2553,3134,5033,5963,14901
30,569,569.000,426,713,1302,1745,2509,3149,3576,6419,11743
31,593,593.000,373,698,907,1680,2312,2990,3794,6196,32072
32,554,554.000,404,735,1553,1791,2510,3131,4289,5774,8604
33,588,588.000,352,704,1463,1692,2537,2975,3180,5492,15429
34,560,560.000,422,717,1228,1773,2541,3134,4105,6318,16815
35,614,614.000,357,691,895,1619,2236,3014,4428,5491,8643
36,512,512.000,383,777,1588,1941,2698,3534,4910,6639,13170
37,557,557.000,334,717,1322,1799,2552,3150,5024,6962,14344
38,358,358.000,542,1057,2256,2753,3278,5647,7316,16993,19774
39,368,368.000,440,809,1549,2704,2888,3650,5897,19420,142277
40,388,388.000,443,778,1810,2588,2915,5639,7997,16849,24069
41,419,419.000,537,848,1389,2457,3038,3828,4816,21351,113107
42,221,221.000,611,999,2116,3721,3760,6936,11370,33317,56486
43,522,522.000,459,771,1326,1908,2697,3408,3932,6524,34092
44,386,386.000,467,781,1768,2567,2775,3528,5761,24939,100730
45,492,492.000,414,759,1367,2022,2742,3351,5517,12790,34506
46,307,307.000,394,950,1806,3226,3142,5824,8854,16914,74268
47,441,441.000,496,875,1798,2251,2975,4089,6118,10222,17064
48,509,509.000,377,743,1214,1953,2667,3399,5148,11317,25645
49,521,521.000,387,748,1140,1907,2525,3692,5562,8025,17984
50,436,436.000,436,854,1843,2282,3167,4322,6001,9841,23083
51,492,492.000,410,774,1240,2016,2890,3820,5610,8156,17703
52,521,521.000,361,759,1392,1910,2653,3362,5308,8609,10721
53,555,555.000,358,735,1114,1789,2630,3244,3630,6296,33347
54,531,531.000,371,748,1580,1870,2643,3348,5194,6024,11823
55,508,508.000,407,776,1546,1960,2727,3297,5577,7248,17470
56,525,525.000,433,754,1090,1894,2535,3191,4193,9194,46508
57,511,511.000,400,775,1670,1945,2629,3328,5332,6748,18535
58,525,525.000,400,727,1107,1906,2530,3265,5379,9855,26501
59,391,391.000,385,833,1823,2514,3097,4422,6026,9844,77283
